Year,Value,Units
2019,6162.8,Per million inhabitants
2021,6560.5,Per million inhabitants
2023,7408.0,Per million inhabitants
2020,6204.9,Per million inhabitants
2022,6953.0,Per million inhabitants
2010,5098.1,Per million inhabitants
2016,5481.3,Per million inhabitants
2013,5496.2,Per million inhabitants
2014,5536.2,Per million inhabitants
2017,5788.4,Per million inhabitants
2015,5564.5,Per million inhabitants
2011,5180.9,Per million inhabitants
2012,5399.2,Per million inhabitants
2018,6027.3,Per million inhabitants
