Year,Value,Units
2007,2.59,Megajoules per constant USD PPP (GDP)
2008,2.59,Megajoules per constant USD PPP (GDP)
2009,2.51,Megajoules per constant USD PPP (GDP)
2010,2.43,Megajoules per constant USD PPP (GDP)
2011,2.24,Megajoules per constant USD PPP (GDP)
2012,2.31,Megajoules per constant USD PPP (GDP)
2013,2.25,Megajoules per constant USD PPP (GDP)
2014,2.16,Megajoules per constant USD PPP (GDP)
2015,2.13,Megajoules per constant USD PPP (GDP)
2016,2.05,Megajoules per constant USD PPP (GDP)
2017,2.05,Megajoules per constant USD PPP (GDP)
2018,1.99,Megajoules per constant USD PPP (GDP)
2019,1.97,Megajoules per constant USD PPP (GDP)
2020,1.96,Megajoules per constant USD PPP (GDP)
2021,1.99,Megajoules per constant USD PPP (GDP)
2022,1.95,Megajoules per constant USD PPP (GDP)
2023,1.7,Megajoules per constant USD PPP (GDP)
