Year,Series,Province,County,Municipality,Units,GeoCode,Value
2016,Proportion of households with running water,,,,PT,,99.9
2013,Proportion of households with running water,,,,PT,,99.9
2023,Proportion of households with running water,,,,PT,,99.9
2010,Proportion of households with running water,,,,PT,,99.9
2018,Proportion of households with running water,,,,PT,,99.9
2022,Proportion of households with running water,,,,PT,,99.9
2020,Proportion of households with running water,,,,PT,,99.9
2021,Proportion of households with running water,,,,PT,,99.9
2019,Proportion of households with running water,,,,PT,,99.9
2014,Proportion of households with running water,,,,PT,,99.9
2015,Proportion of households with running water,,,,PT,,99.9
2020,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2016,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2010,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2018,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2014,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2015,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2019,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2022,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2023,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2021,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2013,Proportion of households with running water,,,Abadiño,PT,Abadiño,100.0
2015,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2016,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2021,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2010,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2023,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2013,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2020,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2022,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2019,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2014,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2018,Proportion of households with running water,,,Abaltzisketa,PT,Abaltzisketa,99.1
2021,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2022,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2010,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2019,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2018,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2016,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2015,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2013,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2020,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2023,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2014,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2020,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2023,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2022,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2015,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2021,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2016,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2019,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2018,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2013,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2014,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2010,Proportion of households with running water,,,Aduna,PT,Aduna,100.0
2023,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2018,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2014,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2015,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2010,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2022,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2013,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2016,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2019,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2020,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2021,Proportion of households with running water,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,100.0
2019,Proportion of households with running water,,,Aia,PT,Aia,99.7
2021,Proportion of households with running water,,,Aia,PT,Aia,99.7
2022,Proportion of households with running water,,,Aia,PT,Aia,99.7
2015,Proportion of households with running water,,,Aia,PT,Aia,99.7
2020,Proportion of households with running water,,,Aia,PT,Aia,99.7
2013,Proportion of households with running water,,,Aia,PT,Aia,99.7
2018,Proportion of households with running water,,,Aia,PT,Aia,99.7
2023,Proportion of households with running water,,,Aia,PT,Aia,99.7
2014,Proportion of households with running water,,,Aia,PT,Aia,99.7
2016,Proportion of households with running water,,,Aia,PT,Aia,99.7
2010,Proportion of households with running water,,,Aia,PT,Aia,99.7
2014,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2015,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2020,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2019,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2022,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2023,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2018,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2021,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2013,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2016,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2010,Proportion of households with running water,,,Aizarnazabal,PT,Aizarnazabal,99.6
2016,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2020,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2021,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2023,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2013,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2022,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2018,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2010,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2019,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2015,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2014,Proportion of households with running water,,,Ajangiz,PT,Ajangiz,100.0
2018,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2020,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2023,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2013,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2021,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2019,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2022,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2015,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2016,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2014,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2010,Proportion of households with running water,,,Albiztur,PT,Albiztur,100.0
2023,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2015,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2010,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2018,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2016,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2019,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2013,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2021,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2014,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2020,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2022,Proportion of households with running water,,,Alegia,PT,Alegia,100.0
2022,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.9
2014,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.9
2018,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.9
2021,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,100.0
2015,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.9
2010,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.8
2016,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.9
2013,Proportion of households with running water,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,99.9
