Year,Sexua,Units,Value
2018,,%,33.4
2023,,%,36.1
2013,,%,35.6
2013,Emakumea,%,36.4
2018,Emakumea,%,30.3
2023,Emakumea,%,34.3
2023,Gizona,%,37.7
2018,Gizona,%,34.1
2013,Gizona,%,35.0
