Year,Sexo,Territorio,Units,Value
2009,,,PT,57.7
2018,,,PT,87.9
2023,,,PT,96.3
2013,,,PT,73.8
2019,,,PT,89.1
2020,,,PT,91.7
2012,,,PT,64.3
2016,,,PT,83.7
2011,,,PT,63.5
2017,,,PT,84.3
2021,,,PT,94.0
2022,,,PT,94.3
2024,,,PT,97.6
2014,,,PT,76.4
2010,,,PT,58.4
2008,,,PT,55.4
2015,,,PT,80.2
2024,,ES211,PT,97.5
2018,,ES211,PT,90.5
2023,,ES211,PT,96.6
2020,,ES211,PT,91.1
2019,,ES211,PT,89.2
2016,,ES211,PT,83.9
2021,,ES211,PT,94.2
2009,,ES211,PT,56.2
2013,,ES211,PT,75.4
2012,,ES211,PT,64.5
2011,,ES211,PT,61.2
2008,,ES211,PT,55.3
2017,,ES211,PT,86.4
2015,,ES211,PT,80.9
2010,,ES211,PT,61.8
2014,,ES211,PT,76.4
2022,,ES211,PT,93.7
2009,,ES213,PT,57.8
2013,,ES213,PT,74.0
2019,,ES213,PT,89.7
2011,,ES213,PT,62.6
2014,,ES213,PT,77.2
2012,,ES213,PT,62.1
2021,,ES213,PT,94.0
2017,,ES213,PT,83.5
2018,,ES213,PT,87.5
2022,,ES213,PT,94.5
2020,,ES213,PT,91.4
2010,,ES213,PT,55.2
2015,,ES213,PT,80.2
2024,,ES213,PT,98.0
2016,,ES213,PT,84.0
2008,,ES213,PT,55.2
2023,,ES213,PT,96.5
2024,,ES212,PT,97.0
2015,,ES212,PT,79.8
2016,,ES212,PT,83.0
2020,,ES212,PT,92.5
2008,,ES212,PT,55.7
2018,,ES212,PT,87.4
2017,,ES212,PT,84.5
2023,,ES212,PT,96.0
2010,,ES212,PT,62.3
2014,,ES212,PT,75.1
2012,,ES212,PT,67.7
2009,,ES212,PT,58.2
2019,,ES212,PT,88.2
2022,,ES212,PT,94.4
2013,,ES212,PT,72.8
2011,,ES212,PT,66.0
2021,,ES212,PT,93.8
2021,F,,PT,94.6
2010,F,,PT,55.7
2015,F,,PT,77.3
2020,F,,PT,92.1
2024,F,,PT,97.9
2014,F,,PT,74.4
2022,F,,PT,94.8
2016,F,,PT,82.7
2018,F,,PT,86.6
2012,F,,PT,61.1
2023,F,,PT,97.0
