Year,Sexo,Units,Value
2022,,PT,8.8
2024,,PT,7.4
2023,,PT,8.0
2025,,PT,8.4
2021,,PT,8.9
2021,F,PT,9.2
2022,F,PT,7.5
2023,F,PT,7.3
2024,F,PT,5.8
2025,F,PT,6.4
2022,M,PT,10.0
2024,M,PT,9.0
2021,M,PT,8.7
2025,M,PT,10.2
2023,M,PT,8.7
