Year,Units,Value
2010,Porcentaje,32.1
2011,Porcentaje,32.0
2012,Porcentaje,32.7
2013,Porcentaje,34.6
2014,Porcentaje,33.8
2015,Porcentaje,34.6
2016,Porcentaje,34.3
2017,Porcentaje,34.0
2018,Porcentaje,35.4
2019,Porcentaje,36.5
2020,Porcentaje,37.4
2021,Porcentaje,37.2
2022,Porcentaje,35.3
2023,Porcentaje,34.8
