Year,Units,Value
2010,IX,27.8
2011,IX,14.36
2012,IX,20.94
2013,IX,10.21
2014,IX,9.1
2015,IX,11.36
2016,IX,11.09
2017,IX,16.19
2018,IX,12.84
2019,IX,18.75
2020,IX,4.52
2021,IX,13.46
2022,IX,22.47
