Year,Sexo,Units,Value
2014,,%,18.5
2016,,%,16.4
2024,,%,17.8
2018,,%,17.7
2008,,%,14.8
2022,,%,16.5
2020,,%,17.8
2012,,%,15.4
2012,Mujer,%,16.7
2014,Mujer,%,19.4
2016,Mujer,%,17.6
2008,Mujer,%,16.6
2020,Mujer,%,18.9
2018,Mujer,%,18.8
2022,Mujer,%,17.7
2016,Hombre,%,15.1
2012,Hombre,%,14.0
2008,Hombre,%,12.9
2018,Hombre,%,16.5
2020,Hombre,%,16.6
2014,Hombre,%,17.6
2022,Hombre,%,15.2
