Year,Value,Units,Series
2016,1.0,RO,EU_GPI_TRN
2011,1.17,RO,EU_GPI_TRN
2022,1.07,RO,EU_GPI_TRN
2016,0.6,RO,EU_SESPI
2011,0.64,RO,EU_SESPI
2022,0.6,RO,EU_SESPI
2024,0.97,RO,EU_RUPI_TRN
2015,0.91,RO,EU_RUPI_TRN
2023,1.02,RO,EU_RUPI_TRN
2016,0.94,RO,EU_RUPI_TRN
2021,1.02,RO,EU_RUPI_TRN
2017,0.92,RO,EU_RUPI_TRN
2018,0.88,RO,EU_RUPI_TRN
2019,0.9,RO,EU_RUPI_TRN
2022,1.01,RO,EU_RUPI_TRN
2020,0.99,RO,EU_RUPI_TRN
2012,0.98,RO,EU_RUPI_TRN
2013,0.93,RO,EU_RUPI_TRN
2010,0.99,RO,EU_RUPI_TRN
2011,0.96,RO,EU_RUPI_TRN
2014,0.91,RO,EU_RUPI_TRN
2022,0.7,RO,EU_PI_HEALTH
2016,0.66,RO,EU_PI_HEALTH
