Year,Value,Units
2017,6.3,PT
2011,10.2,PT
2014,7.3,PT
2020,13.9,PT
2010,10.7,PT
2018,9.5,PT
2013,14.1,PT
2015,4.8,PT
2023,11.2,PT
2019,12.7,PT
2016,4.8,PT
2012,9.6,PT
