Year,Value,Units
2010,-17.19,IX
2011,-25.9,IX
2012,-21.64,IX
2013,-28.59,IX
2014,-29.31,IX
2015,-27.84,IX
2016,-28.02,IX
2017,-25.72,IX
2018,-26.89,IX
2019,-23.06,IX
2020,-32.28,IX
2021,-26.48,IX
2022,-20.65,IX
