Year,Value,Units,Series,GeoCode
2019,102.16,PT,GF_XPD_GBPC,
2020,100.05,PT,GF_XPD_GBPC,
2017,97.87,PT,GF_XPD_GBPC,
2022,104.68,PT,GF_XPD_GBPC,
2021,102.22,PT,GF_XPD_GBPC,
2018,98.53,PT,GF_XPD_GBPC,
2023,101.1,PT,GF_XPD_GBPC,
2016,94.8,PT,GF_XPD_GBPC,
2023,103.31,PT,EU_XPD_LOCALGBPC,
2010,110.23,PT,EU_XPD_LOCALGBPC,
2016,97.37,PT,EU_XPD_LOCALGBPC,
2021,99.22,PT,EU_XPD_LOCALGBPC,
2017,96.78,PT,EU_XPD_LOCALGBPC,
2011,100.45,PT,EU_XPD_LOCALGBPC,
2020,93.84,PT,EU_XPD_LOCALGBPC,
2014,98.47,PT,EU_XPD_LOCALGBPC,
2022,100.26,PT,EU_XPD_LOCALGBPC,
2019,100.27,PT,EU_XPD_LOCALGBPC,
2015,98.05,PT,EU_XPD_LOCALGBPC,
2013,100.2,PT,EU_XPD_LOCALGBPC,
2012,93.03,PT,EU_XPD_LOCALGBPC,
2018,97.17,PT,EU_XPD_LOCALGBPC,
