Year,Value,Units
2010,7.8,PT
2011,9.7,PT
2012,10.8,PT
2013,7.1,PT
2014,7.4,PT
2015,8.4,PT
2016,6.5,PT
2017,7.2,PT
2018,6.3,PT
2019,7.8,PT
2020,7.6,PT
2021,7.6,PT
2022,8.7,PT
2023,7.3,PT
2024,6.8,PT
