Year,Value,Units
2010,27.77,IX
2011,14.35,IX
2012,20.93,IX
2013,10.21,IX
2014,9.14,IX
2015,11.32,IX
2016,11.07,IX
2017,16.14,IX
2018,12.75,IX
2019,18.58,IX
2020,4.45,IX
2021,13.03,IX
2022,21.02,IX
2023,4.19,IX
