Year,Value,Units
2010,31.7,PT
2011,32.7,PT
2012,32.8,PT
2013,32.1,PT
2014,31.8,PT
2015,32.2,PT
2016,32.7,PT
2017,32.7,PT
2018,32.7,PT
2019,33.4,PT
2020,34.6,PT
2021,32.3,PT
2022,30.2,PT
2023,33.4,PT
