Year,Value,Units,Series
2016,49.3,PT,_L_ES_080901_3C
2017,46.7,PT,_L_ES_080901_3C
2018,36.1,PT,_L_ES_080901_3C
2019,31.6,PT,_L_ES_080901_3C
2020,28.5,PT,_L_ES_080901_3C
2021,32.5,PT,_L_ES_080901_3C
2022,36.5,PT,_L_ES_080901_3C
2023,42.0,PT,_L_ES_080901_3C
2024,49.6,PT,_L_ES_080901_3C
2016,26.7,PT,_L_ES_080901_3D
2017,26.5,PT,_L_ES_080901_3D
2018,21.6,PT,_L_ES_080901_3D
2019,19.4,PT,_L_ES_080901_3D
2020,13.5,PT,_L_ES_080901_3D
2021,18.3,PT,_L_ES_080901_3D
2022,20.8,PT,_L_ES_080901_3D
2023,25.0,PT,_L_ES_080901_3D
2024,28.9,PT,_L_ES_080901_3D
