Year,Value,Units,Series,GeoCode
2010,33.73,PT,SG_DSR_SILS,
2023,34.52,PT,SG_DSR_SILS,
2018,34.13,PT,SG_DSR_SILS,
2021,34.52,PT,SG_DSR_SILS,
2014,34.13,PT,SG_DSR_SILS,
2013,33.73,PT,SG_DSR_SILS,
2016,34.13,PT,SG_DSR_SILS,
2020,34.13,PT,SG_DSR_SILS,
2011,33.73,PT,SG_DSR_SILS,
2017,34.13,PT,SG_DSR_SILS,
2024,35.32,PT,SG_DSR_SILS,
2022,34.52,PT,SG_DSR_SILS,
2015,34.13,PT,SG_DSR_SILS,
2019,34.13,PT,SG_DSR_SILS,
2012,33.73,PT,SG_DSR_SILS,
2022,100.0,PT,EU_DSR_SILS_TH,
2020,100.0,PT,EU_DSR_SILS_TH,
2021,100.0,PT,EU_DSR_SILS_TH,
2019,100.0,PT,EU_DSR_SILS_TH,
2013,100.0,PT,EU_DSR_SILS_TH,
2016,100.0,PT,EU_DSR_SILS_TH,
2010,100.0,PT,EU_DSR_SILS_TH,
2015,100.0,PT,EU_DSR_SILS_TH,
2014,100.0,PT,EU_DSR_SILS_TH,
2017,100.0,PT,EU_DSR_SILS_TH,
2023,100.0,PT,EU_DSR_SILS_TH,
2024,100.0,PT,EU_DSR_SILS_TH,
2012,100.0,PT,EU_DSR_SILS_TH,
2011,100.0,PT,EU_DSR_SILS_TH,
2018,100.0,PT,EU_DSR_SILS_TH,
