Year,Value,Units,Series,GeoCode
2010,59.13,PT,EU_CPA_PTP,
2023,100.0,PT,EU_CPA_PTP,
2018,88.89,PT,EU_CPA_PTP,
2021,100.0,PT,EU_CPA_PTP,
2014,67.46,PT,EU_CPA_PTP,
2013,67.46,PT,EU_CPA_PTP,
2016,67.46,PT,EU_CPA_PTP,
2020,88.89,PT,EU_CPA_PTP,
2011,59.13,PT,EU_CPA_PTP,
2017,88.89,PT,EU_CPA_PTP,
2024,100.0,PT,EU_CPA_PTP,
2022,100.0,PT,EU_CPA_PTP,
2015,67.46,PT,EU_CPA_PTP,
2019,88.89,PT,EU_CPA_PTP,
2012,67.46,PT,EU_CPA_PTP,
2022,100.0,PT,EU_CPA_PGOU,
2020,100.0,PT,EU_CPA_PGOU,
2021,100.0,PT,EU_CPA_PGOU,
2019,100.0,PT,EU_CPA_PGOU,
2013,100.0,PT,EU_CPA_PGOU,
2016,100.0,PT,EU_CPA_PGOU,
2010,100.0,PT,EU_CPA_PGOU,
2015,100.0,PT,EU_CPA_PGOU,
2014,100.0,PT,EU_CPA_PGOU,
2017,100.0,PT,EU_CPA_PGOU,
2023,100.0,PT,EU_CPA_PGOU,
2024,100.0,PT,EU_CPA_PGOU,
2012,100.0,PT,EU_CPA_PGOU,
2011,100.0,PT,EU_CPA_PGOU,
2018,100.0,PT,EU_CPA_PGOU,
