Year,Value,Units,Series
2022,18.0,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2018,18.2,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2012,19.2,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2011,18.6,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2017,19.2,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2021,18.1,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2019,18.4,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2010,19.6,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2016,19.2,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2015,19.1,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2014,19.3,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2023,16.1,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2020,18.5,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2013,18.6,KG_PER_HA,EU_SDG_02_60_KG_PER_HA
2012,4.2,KT,EU_SDG_02_60_KT
2011,4.1,KT,EU_SDG_02_60_KT
2023,3.6,KT,EU_SDG_02_60_KT
2017,4.3,KT,EU_SDG_02_60_KT
2019,4.1,KT,EU_SDG_02_60_KT
2021,4.0,KT,EU_SDG_02_60_KT
2010,4.3,KT,EU_SDG_02_60_KT
2018,4.0,KT,EU_SDG_02_60_KT
2016,4.2,KT,EU_SDG_02_60_KT
2020,4.1,KT,EU_SDG_02_60_KT
2022,4.0,KT,EU_SDG_02_60_KT
2014,4.3,KT,EU_SDG_02_60_KT
2015,4.2,KT,EU_SDG_02_60_KT
2013,4.1,KT,EU_SDG_02_60_KT
