Year,Value,Units
2008,9.1,PT
2009,10.0,PT
2010,11.7,PT
2011,13.8,PT
2012,13.3,PT
2013,10.5,PT
2014,10.2,PT
2015,10.9,PT
2016,9.0,PT
2017,9.7,PT
2018,8.6,PT
2019,10.0,PT
2020,10.0,PT
2021,12.2,PT
2022,12.2,PT
2023,10.2,PT
2024,9.4,PT
