Year,Value,Units
2012,26.2,PT
2014,27.2,PT
2015,27.3,PT
2016,27.0,PT
2017,26.8,PT
2018,27.1,PT
2019,27.7,PT
2020,27.4,PT
2021,26.7,PT
2022,25.7,PT
2023,25.7,PT
