Year,Value,Units,Series
2022,1566.89,EUR_1000000,EU_FRN_FDI_EUR
2013,-1006.19,EUR_1000000,EU_FRN_FDI_EUR
2021,9.0,EUR_1000000,EU_FRN_FDI_EUR
2017,543.72,EUR_1000000,EU_FRN_FDI_EUR
2012,576.56,EUR_1000000,EU_FRN_FDI_EUR
2015,36.2,EUR_1000000,EU_FRN_FDI_EUR
2016,554.29,EUR_1000000,EU_FRN_FDI_EUR
2018,178.6,EUR_1000000,EU_FRN_FDI_EUR
2010,1597.2,EUR_1000000,EU_FRN_FDI_EUR
2023,33.18,EUR_1000000,EU_FRN_FDI_EUR
2020,-153.5,EUR_1000000,EU_FRN_FDI_EUR
2011,5181.85,EUR_1000000,EU_FRN_FDI_EUR
2019,121.82,EUR_1000000,EU_FRN_FDI_EUR
2014,-144.05,EUR_1000000,EU_FRN_FDI_EUR
2010,2.4,PT,EU_FRN_FDI_GDP
2011,7.73,PT,EU_FRN_FDI_GDP
2013,-1.55,PT,EU_FRN_FDI_GDP
2014,-0.22,PT,EU_FRN_FDI_GDP
2022,1.81,PT,EU_FRN_FDI_GDP
2015,0.05,PT,EU_FRN_FDI_GDP
2016,0.78,PT,EU_FRN_FDI_GDP
2017,0.74,PT,EU_FRN_FDI_GDP
2018,0.23,PT,EU_FRN_FDI_GDP
2012,0.88,PT,EU_FRN_FDI_GDP
2019,0.15,PT,EU_FRN_FDI_GDP
2020,-0.21,PT,EU_FRN_FDI_GDP
2021,0.01,PT,EU_FRN_FDI_GDP
2023,0.04,PT,EU_FRN_FDI_GDP
