Year,Value,Units
2021,71.8,PT
2012,69.3,PT
2018,70.7,PT
2019,70.8,PT
2020,71.6,PT
2016,70.2,PT
2022,69.6,PT
2014,69.7,PT
2015,69.9,PT
2017,69.7,PT
