Year,Value,Units,Series
2012,67.7,PT,EU_CNCR_CCR
2024,71.0,PT,EU_CNCR_CCR
2019,71.2,PT,EU_CNCR_CCR
2020,70.9,PT,EU_CNCR_CCR
2015,70.3,PT,EU_CNCR_CCR
2014,70.7,PT,EU_CNCR_CCR
2023,69.7,PT,EU_CNCR_CCR
2021,72.0,PT,EU_CNCR_CCR
2018,72.5,PT,EU_CNCR_CCR
2016,72.4,PT,EU_CNCR_CCR
2025,71.7,PT,EU_CNCR_CCR
2017,72.3,PT,EU_CNCR_CCR
2013,69.7,PT,EU_CNCR_CCR
2022,70.5,PT,EU_CNCR_CCR
2017,76.4,PT,EU_CNCR_BCI
2019,76.4,PT,EU_CNCR_BCI
2012,81.8,PT,EU_CNCR_BCI
2021,76.5,PT,EU_CNCR_BCI
2016,79.4,PT,EU_CNCR_BCI
2023,79.3,PT,EU_CNCR_BCI
2014,79.8,PT,EU_CNCR_BCI
2018,76.8,PT,EU_CNCR_BCI
2015,80.8,PT,EU_CNCR_BCI
2024,79.4,PT,EU_CNCR_BCI
2013,80.3,PT,EU_CNCR_BCI
2022,72.8,PT,EU_CNCR_BCI
2020,74.3,PT,EU_CNCR_BCI
