Year,Units,Value
2008,Porcentaje,8.0
2012,Porcentaje,8.7
2014,Porcentaje,11.0
2016,Porcentaje,10.0
2018,Porcentaje,10.6
2020,Porcentaje,11.1
2022,Porcentaje,10.0
