Year,Series,Lurralde historikoa,Units,Value
2012,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.1
2024,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.2
2015,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,1.8
2014,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,1.9
2011,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.0
2013,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.0
2010,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.0
2022,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.1
2016,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,1.8
2020,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.1
2017,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,1.8
2018,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,1.8
2023,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.1
2019,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,1.8
2021,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",,%,2.1
2021,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.3
2010,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.6
2019,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.2
2017,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.3
2014,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.5
2011,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.5
2012,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.6
2015,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.4
2016,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.3
2022,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.4
2023,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.6
2013,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.6
2020,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.3
2024,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan",Araba / Álava,%,1.6
