Year,Series,Sexo,Units,Value
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2023,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.05
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.08
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.08
2024,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.09
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.05
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2024,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2023,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.04
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.04
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.14
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.08
2023,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.1
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.1
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.09
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.12
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.12
2024,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.1
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.09
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
