Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2019,ICT,M,Y16T24,ES211,PT,91.9
2021,ICT,M,Y16T24,ES211,PT,97.21
2019,ICT,M,Y16T24,ES213,PT,97.15
2022,ICT,M,Y16T24,ES213,PT,91.84
2021,ICT,M,Y16T24,ES213,PT,93.28
2023,ICT,M,Y16T24,ES213,PT,89.75
2020,ICT,M,Y16T24,ES213,PT,91.99
2022,ICT,M,Y16T24,ES212,PT,96.4
2023,ICT,M,Y16T24,ES212,PT,94.65
2021,ICT,M,Y16T24,ES212,PT,98.26
2020,ICT,M,Y16T24,ES212,PT,98.09
2019,ICT,M,Y16T24,ES212,PT,89.45
2021,ICT,M,Y16T74,,PT,76.24
2019,ICT,M,Y16T74,,PT,69.65
2023,ICT,M,Y16T74,,PT,72.52
2022,ICT,M,Y16T74,,PT,69.4
2020,ICT,M,Y16T74,,PT,71.39
2020,ICT,M,Y16T74,ES211,PT,69.49
2022,ICT,M,Y16T74,ES211,PT,68.86
2023,ICT,M,Y16T74,ES211,PT,69.77
2019,ICT,M,Y16T74,ES211,PT,71.05
2021,ICT,M,Y16T74,ES211,PT,76.36
2021,ICT,M,Y16T74,ES213,PT,76.5
2020,ICT,M,Y16T74,ES213,PT,71.36
2019,ICT,M,Y16T74,ES213,PT,71.0
2022,ICT,M,Y16T74,ES213,PT,69.91
2023,ICT,M,Y16T74,ES213,PT,73.02
2022,ICT,M,Y16T74,ES212,PT,68.84
2020,ICT,M,Y16T74,ES212,PT,72.34
2019,ICT,M,Y16T74,ES212,PT,66.91
2021,ICT,M,Y16T74,ES212,PT,75.76
2023,ICT,M,Y16T74,ES212,PT,73.03
2022,ICT,M,Y25T74,,PT,66.08
2020,ICT,M,Y25T74,,PT,68.27
2021,ICT,M,Y25T74,,PT,73.44
2023,ICT,M,Y25T74,,PT,69.64
2019,ICT,M,Y25T74,,PT,66.92
2023,ICT,M,Y25T74,ES211,PT,64.99
2020,ICT,M,Y25T74,ES211,PT,65.32
2021,ICT,M,Y25T74,ES211,PT,73.2
2022,ICT,M,Y25T74,ES211,PT,65.93
2019,ICT,M,Y25T74,ES211,PT,68.85
2020,ICT,M,Y25T74,ES213,PT,68.8
2019,ICT,M,Y25T74,ES213,PT,68.19
2023,ICT,M,Y25T74,ES213,PT,70.81
2022,ICT,M,Y25T74,ES213,PT,66.92
2021,ICT,M,Y25T74,ES213,PT,74.31
2020,ICT,M,Y25T74,ES212,PT,68.8
