Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2021,ICTPST,M,Y16T74,ES212,PT,43.74
2019,ICTPST,M,Y25T74,,PT,38.27
2020,ICTPST,M,Y25T74,,PT,40.12
2021,ICTPST,M,Y25T74,,PT,41.72
2023,ICTPST,M,Y25T74,,PT,35.13
2022,ICTPST,M,Y25T74,,PT,36.79
2022,ICTPST,M,Y25T74,ES211,PT,38.95
2023,ICTPST,M,Y25T74,ES211,PT,30.92
2020,ICTPST,M,Y25T74,ES211,PT,38.34
2019,ICTPST,M,Y25T74,ES211,PT,35.55
2021,ICTPST,M,Y25T74,ES211,PT,44.79
2021,ICTPST,M,Y25T74,ES213,PT,43.41
2022,ICTPST,M,Y25T74,ES213,PT,36.43
2023,ICTPST,M,Y25T74,ES213,PT,34.36
2019,ICTPST,M,Y25T74,ES213,PT,39.73
2020,ICTPST,M,Y25T74,ES213,PT,41.38
2021,ICTPST,M,Y25T74,ES212,PT,37.52
2020,ICTPST,M,Y25T74,ES212,PT,38.9
2023,ICTPST,M,Y25T74,ES212,PT,38.29
2019,ICTPST,M,Y25T74,ES212,PT,37.15
2022,ICTPST,M,Y25T74,ES212,PT,36.33
2021,ICTSSHT,,Y16T24,,PT,67.34
2020,ICTSSHT,,Y16T24,,PT,70.73
2019,ICTSSHT,,Y16T24,,PT,70.08
2022,ICTSSHT,,Y16T24,,PT,68.34
2023,ICTSSHT,,Y16T24,,PT,63.58
2021,ICTSSHT,,Y16T24,ES211,PT,61.31
2023,ICTSSHT,,Y16T24,ES211,PT,57.79
2020,ICTSSHT,,Y16T24,ES211,PT,68.93
2022,ICTSSHT,,Y16T24,ES211,PT,74.63
2019,ICTSSHT,,Y16T24,ES211,PT,70.0
2021,ICTSSHT,,Y16T24,ES213,PT,64.2
2023,ICTSSHT,,Y16T24,ES213,PT,60.93
2019,ICTSSHT,,Y16T24,ES213,PT,69.07
2020,ICTSSHT,,Y16T24,ES213,PT,68.82
2022,ICTSSHT,,Y16T24,ES213,PT,69.09
2019,ICTSSHT,,Y16T24,ES212,PT,71.5
2021,ICTSSHT,,Y16T24,ES212,PT,74.53
2022,ICTSSHT,,Y16T24,ES212,PT,64.64
2020,ICTSSHT,,Y16T24,ES212,PT,74.4
2023,ICTSSHT,,Y16T24,ES212,PT,70.09
2021,ICTSSHT,,Y16T74,,PT,44.44
2023,ICTSSHT,,Y16T74,,PT,41.85
2020,ICTSSHT,,Y16T74,,PT,41.11
2019,ICTSSHT,,Y16T74,,PT,41.92
2022,ICTSSHT,,Y16T74,,PT,42.23
2019,ICTSSHT,,Y16T74,ES211,PT,42.89
2022,ICTSSHT,,Y16T74,ES211,PT,44.9
2020,ICTSSHT,,Y16T74,ES211,PT,39.71
2023,ICTSSHT,,Y16T74,ES211,PT,37.35
2021,ICTSSHT,,Y16T74,ES211,PT,44.08
2021,ICTSSHT,,Y16T74,ES213,PT,44.57
2022,ICTSSHT,,Y16T74,ES213,PT,40.86
2023,ICTSSHT,,Y16T74,ES213,PT,41.54
2020,ICTSSHT,,Y16T74,ES213,PT,41.21
2019,ICTSSHT,,Y16T74,ES213,PT,41.11
2023,ICTSSHT,,Y16T74,ES212,PT,44.42
2021,ICTSSHT,,Y16T74,ES212,PT,44.39
2022,ICTSSHT,,Y16T74,ES212,PT,43.22
2020,ICTSSHT,,Y16T74,ES212,PT,41.61
2019,ICTSSHT,,Y16T74,ES212,PT,42.77
2020,ICTSSHT,,Y25T74,,PT,37.44
2021,ICTSSHT,,Y25T74,,PT,41.37
2022,ICTSSHT,,Y25T74,,PT,38.78
2023,ICTSSHT,,Y25T74,,PT,38.98
2019,ICTSSHT,,Y25T74,,PT,38.75
2022,ICTSSHT,,Y25T74,ES211,PT,41.35
2023,ICTSSHT,,Y25T74,ES211,PT,34.53
2019,ICTSSHT,,Y25T74,ES211,PT,39.83
2020,ICTSSHT,,Y25T74,ES211,PT,36.04
2021,ICTSSHT,,Y25T74,ES211,PT,41.73
2019,ICTSSHT,,Y25T74,ES213,PT,38.17
2020,ICTSSHT,,Y25T74,ES213,PT,37.91
2023,ICTSSHT,,Y25T74,ES213,PT,39.1
2022,ICTSSHT,,Y25T74,ES213,PT,37.17
2021,ICTSSHT,,Y25T74,ES213,PT,42.07
2020,ICTSSHT,,Y25T74,ES212,PT,37.32
2023,ICTSSHT,,Y25T74,ES212,PT,40.84
2021,ICTSSHT,,Y25T74,ES212,PT,40.03
2019,ICTSSHT,,Y25T74,ES212,PT,39.19
2022,ICTSSHT,,Y25T74,ES212,PT,40.21
2021,ICTSSHT,F,Y16T24,,PT,64.17
2020,ICTSSHT,F,Y16T24,,PT,68.82
2019,ICTSSHT,F,Y16T24,,PT,70.34
2022,ICTSSHT,F,Y16T24,,PT,68.72
2023,ICTSSHT,F,Y16T24,,PT,64.48
2023,ICTSSHT,F,Y16T24,ES211,PT,62.43
2022,ICTSSHT,F,Y16T24,ES211,PT,72.24
2020,ICTSSHT,F,Y16T24,ES211,PT,64.62
2019,ICTSSHT,F,Y16T24,ES211,PT,70.26
2021,ICTSSHT,F,Y16T24,ES211,PT,62.48
2023,ICTSSHT,F,Y16T24,ES213,PT,58.92
2019,ICTSSHT,F,Y16T24,ES213,PT,67.84
2020,ICTSSHT,F,Y16T24,ES213,PT,65.82
2022,ICTSSHT,F,Y16T24,ES213,PT,69.38
2021,ICTSSHT,F,Y16T24,ES213,PT,59.54
2022,ICTSSHT,F,Y16T24,ES212,PT,66.21
2023,ICTSSHT,F,Y16T24,ES212,PT,73.46
2020,ICTSSHT,F,Y16T24,ES212,PT,75.14
2019,ICTSSHT,F,Y16T24,ES212,PT,73.9
2021,ICTSSHT,F,Y16T24,ES212,PT,72.32
2019,ICTSSHT,F,Y16T74,,PT,39.57
2023,ICTSSHT,F,Y16T74,,PT,40.89
2020,ICTSSHT,F,Y16T74,,PT,39.77
2021,ICTSSHT,F,Y16T74,,PT,42.32
2022,ICTSSHT,F,Y16T74,,PT,41.07
2019,ICTSSHT,F,Y16T74,ES211,PT,40.2
2021,ICTSSHT,F,Y16T74,ES211,PT,43.21
2023,ICTSSHT,F,Y16T74,ES211,PT,39.31
2020,ICTSSHT,F,Y16T74,ES211,PT,39.72
2022,ICTSSHT,F,Y16T74,ES211,PT,43.88
2020,ICTSSHT,F,Y16T74,ES213,PT,38.18
2019,ICTSSHT,F,Y16T74,ES213,PT,38.1
2021,ICTSSHT,F,Y16T74,ES213,PT,41.04
2023,ICTSSHT,F,Y16T74,ES213,PT,39.9
2022,ICTSSHT,F,Y16T74,ES213,PT,38.9
2021,ICTSSHT,F,Y16T74,ES212,PT,44.01
2023,ICTSSHT,F,Y16T74,ES212,PT,43.22
2022,ICTSSHT,F,Y16T74,ES212,PT,43.39
2019,ICTSSHT,F,Y16T74,ES212,PT,41.65
2020,ICTSSHT,F,Y16T74,ES212,PT,42.34
2022,ICTSSHT,F,Y25T74,,PT,37.57
2021,ICTSSHT,F,Y25T74,,PT,39.58
2020,ICTSSHT,F,Y25T74,,PT,36.35
2019,ICTSSHT,F,Y25T74,,PT,36.14
2023,ICTSSHT,F,Y25T74,,PT,37.94
2023,ICTSSHT,F,Y25T74,ES211,PT,36.57
2022,ICTSSHT,F,Y25T74,ES211,PT,40.58
2021,ICTSSHT,F,Y25T74,ES211,PT,40.86
2019,ICTSSHT,F,Y25T74,ES211,PT,36.59
2020,ICTSSHT,F,Y25T74,ES211,PT,36.87
2021,ICTSSHT,F,Y25T74,ES213,PT,38.74
2023,ICTSSHT,F,Y25T74,ES213,PT,37.61
2022,ICTSSHT,F,Y25T74,ES213,PT,35.08
2019,ICTSSHT,F,Y25T74,ES213,PT,35.04
2020,ICTSSHT,F,Y25T74,ES213,PT,35.03
2022,ICTSSHT,F,Y25T74,ES212,PT,40.32
2023,ICTSSHT,F,Y25T74,ES212,PT,39.13
2021,ICTSSHT,F,Y25T74,ES212,PT,40.36
2020,ICTSSHT,F,Y25T74,ES212,PT,38.26
2019,ICTSSHT,F,Y25T74,ES212,PT,37.74
2021,ICTSSHT,M,Y16T24,,PT,70.16
2019,ICTSSHT,M,Y16T24,,PT,69.81
2022,ICTSSHT,M,Y16T24,,PT,67.98
2020,ICTSSHT,M,Y16T24,,PT,72.51
2023,ICTSSHT,M,Y16T24,,PT,62.72
2020,ICTSSHT,M,Y16T24,ES211,PT,72.68
2022,ICTSSHT,M,Y16T24,ES211,PT,76.98
2021,ICTSSHT,M,Y16T24,ES211,PT,60.36
2023,ICTSSHT,M,Y16T24,ES211,PT,54.19
2019,ICTSSHT,M,Y16T24,ES211,PT,69.71
2021,ICTSSHT,M,Y16T24,ES213,PT,68.76
2019,ICTSSHT,M,Y16T24,ES213,PT,70.3
2023,ICTSSHT,M,Y16T24,ES213,PT,62.89
2020,ICTSSHT,M,Y16T24,ES213,PT,71.66
2022,ICTSSHT,M,Y16T24,ES213,PT,68.79
2021,ICTSSHT,M,Y16T24,ES212,PT,76.33
2023,ICTSSHT,M,Y16T24,ES212,PT,66.82
2020,ICTSSHT,M,Y16T24,ES212,PT,73.69
2022,ICTSSHT,M,Y16T24,ES212,PT,63.16
2019,ICTSSHT,M,Y16T24,ES212,PT,69.19
2023,ICTSSHT,M,Y16T74,,PT,42.84
2021,ICTSSHT,M,Y16T74,,PT,46.58
2019,ICTSSHT,M,Y16T74,,PT,44.35
2022,ICTSSHT,M,Y16T74,,PT,43.44
2020,ICTSSHT,M,Y16T74,,PT,42.48
2020,ICTSSHT,M,Y16T74,ES211,PT,39.7
2022,ICTSSHT,M,Y16T74,ES211,PT,45.95
2021,ICTSSHT,M,Y16T74,ES211,PT,44.95
2023,ICTSSHT,M,Y16T74,ES211,PT,35.4
2019,ICTSSHT,M,Y16T74,ES211,PT,45.71
2019,ICTSSHT,M,Y16T74,ES213,PT,44.24
2022,ICTSSHT,M,Y16T74,ES213,PT,42.95
2020,ICTSSHT,M,Y16T74,ES213,PT,44.29
2021,ICTSSHT,M,Y16T74,ES213,PT,48.18
2023,ICTSSHT,M,Y16T74,ES213,PT,43.27
2019,ICTSSHT,M,Y16T74,ES212,PT,43.91
2020,ICTSSHT,M,Y16T74,ES212,PT,40.86
2021,ICTSSHT,M,Y16T74,ES212,PT,44.77
2023,ICTSSHT,M,Y16T74,ES212,PT,45.65
2022,ICTSSHT,M,Y16T74,ES212,PT,43.05
2023,ICTSSHT,M,Y25T74,,PT,40.06
2019,ICTSSHT,M,Y25T74,,PT,41.44
2021,ICTSSHT,M,Y25T74,,PT,43.19
2022,ICTSSHT,M,Y25T74,,PT,40.07
2020,ICTSSHT,M,Y25T74,,PT,38.56
2023,ICTSSHT,M,Y25T74,ES211,PT,32.43
2020,ICTSSHT,M,Y25T74,ES211,PT,35.19
2021,ICTSSHT,M,Y25T74,ES211,PT,42.61
2019,ICTSSHT,M,Y25T74,ES211,PT,43.17
2022,ICTSSHT,M,Y25T74,ES211,PT,42.14
2022,ICTSSHT,M,Y25T74,ES213,PT,39.43
2020,ICTSSHT,M,Y25T74,ES213,PT,40.89
2021,ICTSSHT,M,Y25T74,ES213,PT,45.5
2019,ICTSSHT,M,Y25T74,ES213,PT,41.44
2023,ICTSSHT,M,Y25T74,ES213,PT,40.68
2020,ICTSSHT,M,Y25T74,ES212,PT,36.35
2021,ICTSSHT,M,Y25T74,ES212,PT,39.7
2019,ICTSSHT,M,Y25T74,ES212,PT,40.67
2023,ICTSSHT,M,Y25T74,ES212,PT,42.6
2022,ICTSSHT,M,Y25T74,ES212,PT,40.1
2020,ICTPRGM,,Y16T24,,PT,13.21
2022,ICTPRGM,,Y16T24,,PT,11.04
2023,ICTPRGM,,Y16T24,,PT,16.58
2019,ICTPRGM,,Y16T24,,PT,12.34
2021,ICTPRGM,,Y16T24,,PT,14.65
2021,ICTPRGM,,Y16T24,ES211,PT,14.49
2023,ICTPRGM,,Y16T24,ES211,PT,14.41
2022,ICTPRGM,,Y16T24,ES211,PT,11.05
2020,ICTPRGM,,Y16T24,ES211,PT,7.03
2019,ICTPRGM,,Y16T24,ES211,PT,10.56
2022,ICTPRGM,,Y16T24,ES213,PT,11.36
2023,ICTPRGM,,Y16T24,ES213,PT,20.07
2019,ICTPRGM,,Y16T24,ES213,PT,14.19
2021,ICTPRGM,,Y16T24,ES213,PT,14.51
2020,ICTPRGM,,Y16T24,ES213,PT,16.12
2020,ICTPRGM,,Y16T24,ES212,PT,11.7
2022,ICTPRGM,,Y16T24,ES212,PT,10.53
2019,ICTPRGM,,Y16T24,ES212,PT,10.54
2023,ICTPRGM,,Y16T24,ES212,PT,12.47
2021,ICTPRGM,,Y16T24,ES212,PT,14.93
2021,ICTPRGM,,Y16T74,,PT,5.27
2023,ICTPRGM,,Y16T74,,PT,6.23
2020,ICTPRGM,,Y16T74,,PT,5.69
2022,ICTPRGM,,Y16T74,,PT,5.26
2019,ICTPRGM,,Y16T74,,PT,5.56
2020,ICTPRGM,,Y16T74,ES211,PT,5.73
2022,ICTPRGM,,Y16T74,ES211,PT,4.73
2023,ICTPRGM,,Y16T74,ES211,PT,4.26
2021,ICTPRGM,,Y16T74,ES211,PT,5.7
2019,ICTPRGM,,Y16T74,ES211,PT,5.27
2020,ICTPRGM,,Y16T74,ES213,PT,5.74
2023,ICTPRGM,,Y16T74,ES213,PT,6.86
2022,ICTPRGM,,Y16T74,ES213,PT,5.14
2019,ICTPRGM,,Y16T74,ES213,PT,5.83
2021,ICTPRGM,,Y16T74,ES213,PT,5.17
2022,ICTPRGM,,Y16T74,ES212,PT,5.69
2019,ICTPRGM,,Y16T74,ES212,PT,5.24
2021,ICTPRGM,,Y16T74,ES212,PT,5.21
2020,ICTPRGM,,Y16T74,ES212,PT,5.58
2023,ICTPRGM,,Y16T74,ES212,PT,6.12
2023,ICTPRGM,,Y25T74,,PT,4.86
2019,ICTPRGM,,Y25T74,,PT,4.79
2020,ICTPRGM,,Y25T74,,PT,4.76
2021,ICTPRGM,,Y25T74,,PT,4.0
2022,ICTPRGM,,Y25T74,,PT,4.49
2019,ICTPRGM,,Y25T74,ES211,PT,4.67
2023,ICTPRGM,,Y25T74,ES211,PT,2.86
2020,ICTPRGM,,Y25T74,ES211,PT,5.57
2022,ICTPRGM,,Y25T74,ES211,PT,3.98
2021,ICTPRGM,,Y25T74,ES211,PT,4.5
2023,ICTPRGM,,Y25T74,ES213,PT,5.19
2021,ICTPRGM,,Y25T74,ES213,PT,3.98
2022,ICTPRGM,,Y25T74,ES213,PT,4.33
2019,ICTPRGM,,Y25T74,ES213,PT,4.96
2020,ICTPRGM,,Y25T74,ES213,PT,4.51
2022,ICTPRGM,,Y25T74,ES212,PT,5.01
2023,ICTPRGM,,Y25T74,ES212,PT,5.23
2021,ICTPRGM,,Y25T74,ES212,PT,3.81
2019,ICTPRGM,,Y25T74,ES212,PT,4.58
2020,ICTPRGM,,Y25T74,ES212,PT,4.78
2023,ICTPRGM,F,Y16T24,,PT,12.07
2020,ICTPRGM,F,Y16T24,,PT,9.66
2021,ICTPRGM,F,Y16T24,,PT,11.1
2022,ICTPRGM,F,Y16T24,,PT,9.13
2019,ICTPRGM,F,Y16T24,,PT,8.88
2022,ICTPRGM,F,Y16T24,ES211,PT,4.68
2021,ICTPRGM,F,Y16T24,ES211,PT,9.22
2020,ICTPRGM,F,Y16T24,ES211,PT,4.12
2023,ICTPRGM,F,Y16T24,ES211,PT,8.98
2019,ICTPRGM,F,Y16T24,ES211,PT,7.88
2021,ICTPRGM,F,Y16T24,ES213,PT,13.4
2022,ICTPRGM,F,Y16T24,ES213,PT,13.13
2019,ICTPRGM,F,Y16T24,ES213,PT,10.67
2023,ICTPRGM,F,Y16T24,ES213,PT,15.5
2020,ICTPRGM,F,Y16T24,ES213,PT,11.49
2020,ICTPRGM,F,Y16T24,ES212,PT,9.35
2019,ICTPRGM,F,Y16T24,ES212,PT,6.83
2021,ICTPRGM,F,Y16T24,ES212,PT,8.26
2023,ICTPRGM,F,Y16T24,ES212,PT,8.28
2022,ICTPRGM,F,Y16T24,ES212,PT,4.69
2020,ICTPRGM,F,Y16T74,,PT,4.04
2022,ICTPRGM,F,Y16T74,,PT,3.35
2021,ICTPRGM,F,Y16T74,,PT,3.14
2019,ICTPRGM,F,Y16T74,,PT,3.05
2023,ICTPRGM,F,Y16T74,,PT,4.42
2020,ICTPRGM,F,Y16T74,ES211,PT,4.65
2019,ICTPRGM,F,Y16T74,ES211,PT,3.04
2021,ICTPRGM,F,Y16T74,ES211,PT,3.69
2023,ICTPRGM,F,Y16T74,ES211,PT,3.54
2022,ICTPRGM,F,Y16T74,ES211,PT,3.03
2021,ICTPRGM,F,Y16T74,ES213,PT,3.34
2022,ICTPRGM,F,Y16T74,ES213,PT,3.74
2020,ICTPRGM,F,Y16T74,ES213,PT,3.56
2019,ICTPRGM,F,Y16T74,ES213,PT,3.27
2023,ICTPRGM,F,Y16T74,ES213,PT,5.32
2021,ICTPRGM,F,Y16T74,ES212,PT,2.57
2020,ICTPRGM,F,Y16T74,ES212,PT,4.53
2019,ICTPRGM,F,Y16T74,ES212,PT,2.71
2023,ICTPRGM,F,Y16T74,ES212,PT,3.36
2022,ICTPRGM,F,Y16T74,ES212,PT,2.84
2023,ICTPRGM,F,Y25T74,,PT,3.46
2021,ICTPRGM,F,Y25T74,,PT,2.15
2019,ICTPRGM,F,Y25T74,,PT,2.4
2022,ICTPRGM,F,Y25T74,,PT,2.62
2020,ICTPRGM,F,Y25T74,,PT,3.38
2019,ICTPRGM,F,Y25T74,ES211,PT,2.46
2020,ICTPRGM,F,Y25T74,ES211,PT,4.71
2023,ICTPRGM,F,Y25T74,ES211,PT,2.9
2022,ICTPRGM,F,Y25T74,ES211,PT,2.84
2021,ICTPRGM,F,Y25T74,ES211,PT,3.01
2021,ICTPRGM,F,Y25T74,ES213,PT,2.09
2022,ICTPRGM,F,Y25T74,ES213,PT,2.57
2019,ICTPRGM,F,Y25T74,ES213,PT,2.51
2020,ICTPRGM,F,Y25T74,ES213,PT,2.65
2023,ICTPRGM,F,Y25T74,ES213,PT,4.09
2020,ICTPRGM,F,Y25T74,ES212,PT,3.93
2023,ICTPRGM,F,Y25T74,ES212,PT,2.69
2022,ICTPRGM,F,Y25T74,ES212,PT,2.59
2019,ICTPRGM,F,Y25T74,ES212,PT,2.21
2021,ICTPRGM,F,Y25T74,ES212,PT,1.84
2020,ICTPRGM,M,Y16T24,,PT,16.53
2023,ICTPRGM,M,Y16T24,,PT,20.82
2021,ICTPRGM,M,Y16T24,,PT,17.82
2022,ICTPRGM,M,Y16T24,,PT,12.88
2019,ICTPRGM,M,Y16T24,,PT,15.83
2020,ICTPRGM,M,Y16T24,ES211,PT,9.56
2019,ICTPRGM,M,Y16T24,ES211,PT,13.71
2021,ICTPRGM,M,Y16T24,ES211,PT,18.8
2023,ICTPRGM,M,Y16T24,ES211,PT,18.62
2022,ICTPRGM,M,Y16T24,ES211,PT,17.3
2020,ICTPRGM,M,Y16T24,ES213,PT,20.49
2019,ICTPRGM,M,Y16T24,ES213,PT,17.71
2022,ICTPRGM,M,Y16T24,ES213,PT,9.61
2023,ICTPRGM,M,Y16T24,ES213,PT,24.51
2021,ICTPRGM,M,Y16T24,ES213,PT,15.6
2023,ICTPRGM,M,Y16T24,ES212,PT,16.54
2020,ICTPRGM,M,Y16T24,ES212,PT,13.92
2022,ICTPRGM,M,Y16T24,ES212,PT,16.01
2019,ICTPRGM,M,Y16T24,ES212,PT,14.1
2021,ICTPRGM,M,Y16T24,ES212,PT,20.33
2022,ICTPRGM,M,Y16T74,,PT,7.25
2020,ICTPRGM,M,Y16T74,,PT,7.37
2023,ICTPRGM,M,Y16T74,,PT,8.1
2021,ICTPRGM,M,Y16T74,,PT,7.4
2019,ICTPRGM,M,Y16T74,,PT,8.14
2022,ICTPRGM,M,Y16T74,ES211,PT,6.49
2020,ICTPRGM,M,Y16T74,ES211,PT,6.83
2019,ICTPRGM,M,Y16T74,ES211,PT,7.6
2021,ICTPRGM,M,Y16T74,ES211,PT,7.7
2023,ICTPRGM,M,Y16T74,ES211,PT,4.98
2020,ICTPRGM,M,Y16T74,ES213,PT,7.98
2022,ICTPRGM,M,Y16T74,ES213,PT,6.64
2021,ICTPRGM,M,Y16T74,ES213,PT,7.05
2019,ICTPRGM,M,Y16T74,ES213,PT,8.5
2023,ICTPRGM,M,Y16T74,ES213,PT,8.48
2022,ICTPRGM,M,Y16T74,ES212,PT,8.57
2019,ICTPRGM,M,Y16T74,ES212,PT,7.79
2020,ICTPRGM,M,Y16T74,ES212,PT,6.65
2021,ICTPRGM,M,Y16T74,ES212,PT,7.81
2023,ICTPRGM,M,Y16T74,ES212,PT,8.95
2023,ICTPRGM,M,Y25T74,,PT,6.32
2020,ICTPRGM,M,Y25T74,,PT,6.18
2021,ICTPRGM,M,Y25T74,,PT,5.9
2022,ICTPRGM,M,Y25T74,,PT,6.47
2019,ICTPRGM,M,Y25T74,,PT,7.26
2022,ICTPRGM,M,Y25T74,ES211,PT,5.16
2021,ICTPRGM,M,Y25T74,ES211,PT,6.01
2020,ICTPRGM,M,Y25T74,ES211,PT,6.46
2023,ICTPRGM,M,Y25T74,ES211,PT,2.83
2019,ICTPRGM,M,Y25T74,ES211,PT,6.95
2023,ICTPRGM,M,Y25T74,ES213,PT,6.37
2021,ICTPRGM,M,Y25T74,ES213,PT,5.93
2019,ICTPRGM,M,Y25T74,ES213,PT,7.51
2022,ICTPRGM,M,Y25T74,ES213,PT,6.23
2020,ICTPRGM,M,Y25T74,ES213,PT,6.42
2020,ICTPRGM,M,Y25T74,ES212,PT,5.65
2023,ICTPRGM,M,Y25T74,ES212,PT,7.85
2021,ICTPRGM,M,Y25T74,ES212,PT,5.8
2019,ICTPRGM,M,Y25T74,ES212,PT,6.98
2022,ICTPRGM,M,Y25T74,ES212,PT,7.48
2023,ICTTRFF,,Y16T24,,PT,77.6
2021,ICTTRFF,,Y16T24,,PT,85.19
2019,ICTTRFF,,Y16T24,,PT,84.87
2022,ICTTRFF,,Y16T24,,PT,78.1
2020,ICTTRFF,,Y16T24,,PT,84.6
2021,ICTTRFF,,Y16T24,ES211,PT,82.26
2019,ICTTRFF,,Y16T24,ES211,PT,84.7
2020,ICTTRFF,,Y16T24,ES211,PT,86.93
2023,ICTTRFF,,Y16T24,ES211,PT,83.91
2022,ICTTRFF,,Y16T24,ES211,PT,81.74
2020,ICTTRFF,,Y16T24,ES213,PT,83.91
2019,ICTTRFF,,Y16T24,ES213,PT,88.2
2021,ICTTRFF,,Y16T24,ES213,PT,85.4
2023,ICTTRFF,,Y16T24,ES213,PT,76.45
2022,ICTTRFF,,Y16T24,ES213,PT,76.61
2023,ICTTRFF,,Y16T24,ES212,PT,76.4
2020,ICTTRFF,,Y16T24,ES212,PT,84.57
2019,ICTTRFF,,Y16T24,ES212,PT,80.35
2021,ICTTRFF,,Y16T24,ES212,PT,86.17
2022,ICTTRFF,,Y16T24,ES212,PT,78.88
2019,ICTTRFF,,Y16T74,,PT,51.89
2022,ICTTRFF,,Y16T74,,PT,52.11
2020,ICTTRFF,,Y16T74,,PT,55.16
2023,ICTTRFF,,Y16T74,,PT,49.97
2021,ICTTRFF,,Y16T74,,PT,60.29
2021,ICTTRFF,,Y16T74,ES211,PT,59.61
2022,ICTTRFF,,Y16T74,ES211,PT,52.54
2020,ICTTRFF,,Y16T74,ES211,PT,55.92
2023,ICTTRFF,,Y16T74,ES211,PT,46.04
2019,ICTTRFF,,Y16T74,ES211,PT,51.64
2019,ICTTRFF,,Y16T74,ES213,PT,52.78
2021,ICTTRFF,,Y16T74,ES213,PT,60.31
2022,ICTTRFF,,Y16T74,ES213,PT,52.27
2023,ICTTRFF,,Y16T74,ES213,PT,50.57
2020,ICTTRFF,,Y16T74,ES213,PT,54.17
2019,ICTTRFF,,Y16T74,ES212,PT,50.59
2021,ICTTRFF,,Y16T74,ES212,PT,60.59
2022,ICTTRFF,,Y16T74,ES212,PT,51.64
2020,ICTTRFF,,Y16T74,ES212,PT,56.4
2023,ICTTRFF,,Y16T74,ES212,PT,50.82
2020,ICTTRFF,,Y25T74,,PT,51.51
2021,ICTTRFF,,Y25T74,,PT,56.95
2022,ICTTRFF,,Y25T74,,PT,48.68
2023,ICTTRFF,,Y25T74,,PT,46.31
2019,ICTTRFF,,Y25T74,,PT,48.18
2023,ICTTRFF,,Y25T74,ES211,PT,40.81
2019,ICTTRFF,,Y25T74,ES211,PT,47.91
2020,ICTTRFF,,Y25T74,ES211,PT,52.03
2021,ICTTRFF,,Y25T74,ES211,PT,56.51
2022,ICTTRFF,,Y25T74,ES211,PT,49.05
2019,ICTTRFF,,Y25T74,ES213,PT,49.05
2021,ICTTRFF,,Y25T74,ES213,PT,57.11
2023,ICTTRFF,,Y25T74,ES213,PT,47.3
2020,ICTTRFF,,Y25T74,ES213,PT,50.63
2022,ICTTRFF,,Y25T74,ES213,PT,49.1
2021,ICTTRFF,,Y25T74,ES212,PT,56.89
2019,ICTTRFF,,Y25T74,ES212,PT,46.88
2022,ICTTRFF,,Y25T74,ES212,PT,47.82
2020,ICTTRFF,,Y25T74,ES212,PT,52.71
2023,ICTTRFF,,Y25T74,ES212,PT,47.25
2019,ICTTRFF,F,Y16T24,,PT,88.56
2023,ICTTRFF,F,Y16T24,,PT,84.28
2021,ICTTRFF,F,Y16T24,,PT,82.59
2022,ICTTRFF,F,Y16T24,,PT,81.09
2020,ICTTRFF,F,Y16T24,,PT,84.43
2019,ICTTRFF,F,Y16T24,ES211,PT,87.2
2021,ICTTRFF,F,Y16T24,ES211,PT,84.87
2023,ICTTRFF,F,Y16T24,ES211,PT,89.88
2020,ICTTRFF,F,Y16T24,ES211,PT,82.29
2022,ICTTRFF,F,Y16T24,ES211,PT,85.62
2020,ICTTRFF,F,Y16T24,ES213,PT,85.6
2023,ICTTRFF,F,Y16T24,ES213,PT,84.18
2022,ICTTRFF,F,Y16T24,ES213,PT,81.25
2019,ICTTRFF,F,Y16T24,ES213,PT,88.98
2021,ICTTRFF,F,Y16T24,ES213,PT,83.57
2022,ICTTRFF,F,Y16T24,ES212,PT,78.94
2021,ICTTRFF,F,Y16T24,ES212,PT,80.03
2019,ICTTRFF,F,Y16T24,ES212,PT,88.57
2020,ICTTRFF,F,Y16T24,ES212,PT,83.61
2023,ICTTRFF,F,Y16T24,ES212,PT,82.15
2021,ICTTRFF,F,Y16T74,,PT,58.63
2019,ICTTRFF,F,Y16T74,,PT,50.08
2023,ICTTRFF,F,Y16T74,,PT,48.1
2022,ICTTRFF,F,Y16T74,,PT,51.07
2020,ICTTRFF,F,Y16T74,,PT,52.59
2019,ICTTRFF,F,Y16T74,ES211,PT,48.64
2022,ICTTRFF,F,Y16T74,ES211,PT,52.9
2023,ICTTRFF,F,Y16T74,ES211,PT,45.98
2020,ICTTRFF,F,Y16T74,ES211,PT,54.29
2021,ICTTRFF,F,Y16T74,ES211,PT,56.3
2021,ICTTRFF,F,Y16T74,ES213,PT,58.45
2020,ICTTRFF,F,Y16T74,ES213,PT,51.44
2019,ICTTRFF,F,Y16T74,ES213,PT,50.34
2022,ICTTRFF,F,Y16T74,ES213,PT,50.45
2023,ICTTRFF,F,Y16T74,ES213,PT,47.89
2022,ICTTRFF,F,Y16T74,ES212,PT,51.23
2023,ICTTRFF,F,Y16T74,ES212,PT,49.41
2021,ICTTRFF,F,Y16T74,ES212,PT,59.99
2019,ICTTRFF,F,Y16T74,ES212,PT,50.32
2020,ICTTRFF,F,Y16T74,ES212,PT,53.65
2023,ICTTRFF,F,Y25T74,,PT,43.57
2020,ICTTRFF,F,Y25T74,,PT,48.84
2022,ICTTRFF,F,Y25T74,,PT,47.26
2021,ICTTRFF,F,Y25T74,,PT,55.62
