Year,Series,Territorio histórico,Units,Value
2018,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,71.2
2012,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,98.3
2016,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,78.5
2022,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,52.0
2014,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,83.7
2011,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,101.0
2021,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,,Por 100.000,123.3
2023,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,,Por 100.000,117.2
2023,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,50.8
2022,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,,Por 100.000,119.0
2013,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,89.6
2019,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,67.7
2021,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,56.5
2024,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,50.2
2020,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,62.1
2024,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,,Por 100.000,111.5
2017,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,73.7
2015,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,82.2
2010,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,,Por 100.000,103.5
2021,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,58.6
2020,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,63.1
2021,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,109.6
2018,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,72.2
2023,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,53.0
2016,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,83.6
2022,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,54.1
2010,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,122.4
2011,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,117.6
2023,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,103.6
2024,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,52.2
2017,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,75.8
2014,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,93.7
2024,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,97.6
2015,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,91.6
2013,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,102.6
2012,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,114.3
2022,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,105.2
2019,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Araba/Álava,Por 100.000,68.5
2022,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,114.1
2013,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,85.9
2024,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,48.2
2012,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,96.1
