Year,Series,Sexo,Territorio histórico,Units,Value
2012,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.99
2020,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.97
2010,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.56
2014,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.19
2021,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.17
2021,Esperanza de vida al nacer,Hombre,,Años,80.81
2011,Esperanza de vida al nacer,Hombre,,Años,79.11
2010,Esperanza de vida al nacer,Hombre,,Años,79.08
2014,Esperanza de vida al nacer,Hombre,,Años,80.27
2020,Esperanza de vida al nacer,Hombre,,Años,80.15
2016,Esperanza de vida al nacer,Hombre,,Años,80.26
2022,Esperanza de vida al nacer,Hombre,,Años,80.55
2019,Esperanza de vida al nacer,Hombre,,Años,80.91
2017,Esperanza de vida al nacer,Hombre,,Años,80.49
2012,Esperanza de vida al nacer,Hombre,,Años,79.43
2018,Esperanza de vida al nacer,Hombre,,Años,80.73
2015,Esperanza de vida al nacer,Hombre,,Años,79.97
2013,Esperanza de vida al nacer,Hombre,,Años,79.8
2011,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,79.89
2018,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.4
2017,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.04
2013,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.16
2012,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.58
2010,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.18
2021,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.57
2022,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.47
2019,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.57
2015,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.62
2016,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.02
2020,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.54
2014,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.63
2017,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.43
2019,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.46
2016,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.95
2014,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.98
2015,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.77
2012,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.13
2010,Esperanza de vida al nacer,Hombre,Bizkaia,Años,78.53
2011,Esperanza de vida al nacer,Hombre,Bizkaia,Años,78.81
2022,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.51
2021,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.76
2013,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.82
2020,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.91
2018,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.54
2019,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,81.35
2015,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.01
2013,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.64
2012,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.42
2011,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.27
2022,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.22
2010,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.51
2018,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.76
2014,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.15
2016,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.44
2021,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.56
2020,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.36
2017,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.35
2019,Esperanza de vida en buena salud,Mujer,,Años,76.67
2021,Esperanza de vida en buena salud,Mujer,,Años,76.61
2018,Esperanza de vida en buena salud,Mujer,,Años,76.58
2013,Esperanza de vida en buena salud,Mujer,,Años,74.2
2018,Esperanza de vida en buena salud,Mujer,Araba/Álava,Años,76.99
2021,Esperanza de vida en buena salud,Mujer,Araba/Álava,Años,77.12
2019,Esperanza de vida en buena salud,Mujer,Araba/Álava,Años,77.37
2021,Esperanza de vida en buena salud,Mujer,Bizkaia,Años,76.57
2019,Esperanza de vida en buena salud,Mujer,Bizkaia,Años,76.46
2018,Esperanza de vida en buena salud,Mujer,Bizkaia,Años,76.45
2018,Esperanza de vida en buena salud,Mujer,Gipuzkoa,Años,76.65
2021,Esperanza de vida en buena salud,Mujer,Gipuzkoa,Años,76.47
2019,Esperanza de vida en buena salud,Mujer,Gipuzkoa,Años,76.71
2018,Esperanza de vida en buena salud,Hombre,,Años,74.31
2021,Esperanza de vida en buena salud,Hombre,,Años,74.54
2019,Esperanza de vida en buena salud,Hombre,,Años,74.67
2013,Esperanza de vida en buena salud,Hombre,,Años,71.82
2019,Esperanza de vida en buena salud,Hombre,Araba/Álava,Años,74.74
2021,Esperanza de vida en buena salud,Hombre,Araba/Álava,Años,75.03
2018,Esperanza de vida en buena salud,Hombre,Araba/Álava,Años,75.03
2018,Esperanza de vida en buena salud,Hombre,Bizkaia,Años,74.19
2021,Esperanza de vida en buena salud,Hombre,Bizkaia,Años,74.41
2019,Esperanza de vida en buena salud,Hombre,Bizkaia,Años,74.4
2019,Esperanza de vida en buena salud,Hombre,Gipuzkoa,Años,75.06
2021,Esperanza de vida en buena salud,Hombre,Gipuzkoa,Años,74.51
2018,Esperanza de vida en buena salud,Hombre,Gipuzkoa,Años,74.17
