Year,Servicios públicos,Sexo,Territorio histórico,Units,Value
2018,,,,Porcentaje,57.4
2017,,,,Porcentaje,57.4
2019,,,,Porcentaje,57.3
2013,,,,Porcentaje,40.2
2020,,,,Porcentaje,54.1
2023,,,,Porcentaje,56.8
2022,,,,Porcentaje,51.0
2015,,,,Porcentaje,46.3
2014,,,,Porcentaje,41.2
2016,,,,Porcentaje,50.4
2011,,,,Porcentaje,47.7
2012,,,,Porcentaje,50.3
2021,,,,Porcentaje,55.1
2022,,,Araba/Álava,Porcentaje,42.7
2017,,,Araba/Álava,Porcentaje,60.5
2019,,,Araba/Álava,Porcentaje,54.8
2016,,,Araba/Álava,Porcentaje,49.6
2021,,,Araba/Álava,Porcentaje,48.2
2023,,,Araba/Álava,Porcentaje,55.7
2020,,,Araba/Álava,Porcentaje,47.3
2018,,,Araba/Álava,Porcentaje,56.0
2022,,,Bizkaia,Porcentaje,54.9
2018,,,Bizkaia,Porcentaje,55.7
2017,,,Bizkaia,Porcentaje,50.4
2020,,,Bizkaia,Porcentaje,56.9
2016,,,Bizkaia,Porcentaje,45.0
2021,,,Bizkaia,Porcentaje,57.9
2019,,,Bizkaia,Porcentaje,51.2
2023,,,Bizkaia,Porcentaje,53.1
2017,,,Gipuzkoa,Porcentaje,62.1
2019,,,Gipuzkoa,Porcentaje,61.6
2022,,,Gipuzkoa,Porcentaje,51.0
2018,,,Gipuzkoa,Porcentaje,59.8
2023,,,Gipuzkoa,Porcentaje,59.4
2021,,,Gipuzkoa,Porcentaje,54.8
2016,,,Gipuzkoa,Porcentaje,55.9
2020,,,Gipuzkoa,Porcentaje,54.9
2022,,Mujer,,Porcentaje,49.1
2017,,Mujer,,Porcentaje,57.0
2016,,Mujer,,Porcentaje,46.6
2021,,Mujer,,Porcentaje,53.1
2023,,Mujer,,Porcentaje,54.8
2019,,Mujer,,Porcentaje,54.6
2018,,Mujer,,Porcentaje,54.5
2020,,Mujer,,Porcentaje,50.2
2017,,Mujer,Araba/Álava,Porcentaje,56.2
2020,,Mujer,Araba/Álava,Porcentaje,44.6
2021,,Mujer,Araba/Álava,Porcentaje,32.2
2018,,Mujer,Araba/Álava,Porcentaje,58.0
2023,,Mujer,Araba/Álava,Porcentaje,56.8
2022,,Mujer,Araba/Álava,Porcentaje,41.2
2019,,Mujer,Araba/Álava,Porcentaje,52.2
2016,,Mujer,Araba/Álava,Porcentaje,48.0
2022,,Mujer,Bizkaia,Porcentaje,54.7
2019,,Mujer,Bizkaia,Porcentaje,45.0
2017,,Mujer,Bizkaia,Porcentaje,47.6
2021,,Mujer,Bizkaia,Porcentaje,55.5
2018,,Mujer,Bizkaia,Porcentaje,49.1
2016,,Mujer,Bizkaia,Porcentaje,36.8
2023,,Mujer,Bizkaia,Porcentaje,48.4
2020,,Mujer,Bizkaia,Porcentaje,52.2
2020,,Mujer,Gipuzkoa,Porcentaje,51.6
2023,,Mujer,Gipuzkoa,Porcentaje,58.6
2017,,Mujer,Gipuzkoa,Porcentaje,67.3
2022,,Mujer,Gipuzkoa,Porcentaje,47.6
2018,,Mujer,Gipuzkoa,Porcentaje,58.5
2021,,Mujer,Gipuzkoa,Porcentaje,54.0
2019,,Mujer,Gipuzkoa,Porcentaje,61.4
2016,,Mujer,Gipuzkoa,Porcentaje,55.2
2022,,Hombre,,Porcentaje,52.8
2017,,Hombre,,Porcentaje,57.8
2023,,Hombre,,Porcentaje,59.0
2021,,Hombre,,Porcentaje,57.5
2016,,Hombre,,Porcentaje,54.6
2018,,Hombre,,Porcentaje,59.9
2020,,Hombre,,Porcentaje,58.3
2019,,Hombre,,Porcentaje,60.3
2021,,Hombre,Araba/Álava,Porcentaje,57.9
2016,,Hombre,Araba/Álava,Porcentaje,51.1
2023,,Hombre,Araba/Álava,Porcentaje,55.0
2022,,Hombre,Araba/Álava,Porcentaje,44.4
2019,,Hombre,Araba/Álava,Porcentaje,56.8
2017,,Hombre,Araba/Álava,Porcentaje,63.9
2018,,Hombre,Araba/Álava,Porcentaje,53.8
2020,,Hombre,Araba/Álava,Porcentaje,51.1
2016,,Hombre,Bizkaia,Porcentaje,53.7
2022,,Hombre,Bizkaia,Porcentaje,55.8
2017,,Hombre,Bizkaia,Porcentaje,54.0
2020,,Hombre,Bizkaia,Porcentaje,61.0
2018,,Hombre,Bizkaia,Porcentaje,60.8
2023,,Hombre,Bizkaia,Porcentaje,60.0
2019,,Hombre,Bizkaia,Porcentaje,59.0
2021,,Hombre,Bizkaia,Porcentaje,61.3
2020,,Hombre,Gipuzkoa,Porcentaje,58.6
2021,,Hombre,Gipuzkoa,Porcentaje,55.6
2017,,Hombre,Gipuzkoa,Porcentaje,57.4
2022,,Hombre,Gipuzkoa,Porcentaje,53.7
2018,,Hombre,Gipuzkoa,Porcentaje,61.1
2023,,Hombre,Gipuzkoa,Porcentaje,60.5
2019,,Hombre,Gipuzkoa,Porcentaje,62.0
2016,,Hombre,Gipuzkoa,Porcentaje,56.9
2018,Enseñanza,,,Porcentaje,70.9
2013,Enseñanza,,,Porcentaje,45.5
2016,Enseñanza,,,Porcentaje,60.0
2023,Enseñanza,,,Porcentaje,65.3
2022,Enseñanza,,,Porcentaje,60.9
2020,Enseñanza,,,Porcentaje,56.5
2015,Enseñanza,,,Porcentaje,59.4
2014,Enseñanza,,,Porcentaje,54.0
