Year,Servicios públicos,Sexo,Territorio histórico,Units,Value
2012,Enseñanza,,,Porcentaje,66.0
2019,Enseñanza,,,Porcentaje,72.2
2011,Enseñanza,,,Porcentaje,66.7
2021,Enseñanza,,,Porcentaje,54.4
2017,Enseñanza,,,Porcentaje,69.5
2020,Enseñanza,,Araba/Álava,Porcentaje,33.3
2017,Enseñanza,,Araba/Álava,Porcentaje,60.0
2018,Enseñanza,,Araba/Álava,Porcentaje,76.5
2021,Enseñanza,,Araba/Álava,Porcentaje,61.2
2016,Enseñanza,,Araba/Álava,Porcentaje,77.8
2023,Enseñanza,,Araba/Álava,Porcentaje,57.0
2019,Enseñanza,,Araba/Álava,Porcentaje,41.7
2022,Enseñanza,,Araba/Álava,Porcentaje,42.0
2019,Enseñanza,,Bizkaia,Porcentaje,69.0
2023,Enseñanza,,Bizkaia,Porcentaje,66.2
2017,Enseñanza,,Bizkaia,Porcentaje,72.2
2021,Enseñanza,,Bizkaia,Porcentaje,53.2
2018,Enseñanza,,Bizkaia,Porcentaje,58.3
2016,Enseñanza,,Bizkaia,Porcentaje,48.8
2022,Enseñanza,,Bizkaia,Porcentaje,63.9
2020,Enseñanza,,Bizkaia,Porcentaje,58.8
2017,Enseñanza,,Gipuzkoa,Porcentaje,72.7
2018,Enseñanza,,Gipuzkoa,Porcentaje,82.2
2016,Enseñanza,,Gipuzkoa,Porcentaje,63.6
2022,Enseñanza,,Gipuzkoa,Porcentaje,64.4
2019,Enseñanza,,Gipuzkoa,Porcentaje,80.3
2023,Enseñanza,,Gipuzkoa,Porcentaje,67.7
2020,Enseñanza,,Gipuzkoa,Porcentaje,66.0
2021,Enseñanza,,Gipuzkoa,Porcentaje,53.9
2022,Enseñanza,Mujer,,Porcentaje,63.0
2019,Enseñanza,Mujer,,Porcentaje,68.9
2021,Enseñanza,Mujer,,Porcentaje,59.6
2023,Enseñanza,Mujer,,Porcentaje,67.2
2018,Enseñanza,Mujer,,Porcentaje,70.4
2017,Enseñanza,Mujer,,Porcentaje,70.6
2016,Enseñanza,Mujer,,Porcentaje,51.9
2020,Enseñanza,Mujer,,Porcentaje,50.7
2021,Enseñanza,Mujer,Araba/Álava,Porcentaje,52.7
2023,Enseñanza,Mujer,Araba/Álava,Porcentaje,53.7
2018,Enseñanza,Mujer,Araba/Álava,Porcentaje,80.0
2017,Enseñanza,Mujer,Araba/Álava,Porcentaje,63.6
2019,Enseñanza,Mujer,Araba/Álava,Porcentaje,20.0
2016,Enseñanza,Mujer,Araba/Álava,Porcentaje,77.8
2020,Enseñanza,Mujer,Araba/Álava,Porcentaje,20.0
2022,Enseñanza,Mujer,Araba/Álava,Porcentaje,38.6
2016,Enseñanza,Mujer,Bizkaia,Porcentaje,42.9
2021,Enseñanza,Mujer,Bizkaia,Porcentaje,55.1
2019,Enseñanza,Mujer,Bizkaia,Porcentaje,60.9
2022,Enseñanza,Mujer,Bizkaia,Porcentaje,74.0
2023,Enseñanza,Mujer,Bizkaia,Porcentaje,70.0
2018,Enseñanza,Mujer,Bizkaia,Porcentaje,57.1
2017,Enseñanza,Mujer,Bizkaia,Porcentaje,72.2
2020,Enseñanza,Mujer,Bizkaia,Porcentaje,50.0
2018,Enseñanza,Mujer,Gipuzkoa,Porcentaje,78.3
2023,Enseñanza,Mujer,Gipuzkoa,Porcentaje,69.1
2016,Enseñanza,Mujer,Gipuzkoa,Porcentaje,50.0
2021,Enseñanza,Mujer,Gipuzkoa,Porcentaje,63.0
2019,Enseñanza,Mujer,Gipuzkoa,Porcentaje,81.8
2020,Enseñanza,Mujer,Gipuzkoa,Porcentaje,66.7
2017,Enseñanza,Mujer,Gipuzkoa,Porcentaje,72.7
2022,Enseñanza,Mujer,Gipuzkoa,Porcentaje,62.9
2023,Enseñanza,Hombre,,Porcentaje,63.0
2019,Enseñanza,Hombre,,Porcentaje,75.9
2016,Enseñanza,Hombre,,Porcentaje,68.6
2017,Enseñanza,Hombre,,Porcentaje,68.5
2022,Enseñanza,Hombre,,Porcentaje,58.9
2020,Enseñanza,Hombre,,Porcentaje,62.9
2021,Enseñanza,Hombre,,Porcentaje,47.9
2018,Enseñanza,Hombre,,Porcentaje,71.4
2017,Enseñanza,Hombre,Araba/Álava,Porcentaje,57.1
2019,Enseñanza,Hombre,Araba/Álava,Porcentaje,57.1
2020,Enseñanza,Hombre,Araba/Álava,Porcentaje,50.0
2016,Enseñanza,Hombre,Araba/Álava,Porcentaje,77.8
2021,Enseñanza,Hombre,Araba/Álava,Porcentaje,66.9
2018,Enseñanza,Hombre,Araba/Álava,Porcentaje,71.4
2023,Enseñanza,Hombre,Araba/Álava,Porcentaje,59.1
2022,Enseñanza,Hombre,Araba/Álava,Porcentaje,45.6
2020,Enseñanza,Hombre,Bizkaia,Porcentaje,66.7
2021,Enseñanza,Hombre,Bizkaia,Porcentaje,50.6
2019,Enseñanza,Hombre,Bizkaia,Porcentaje,78.9
2022,Enseñanza,Hombre,Bizkaia,Porcentaje,51.2
2023,Enseñanza,Hombre,Bizkaia,Porcentaje,60.8
2016,Enseñanza,Hombre,Bizkaia,Porcentaje,54.5
2018,Enseñanza,Hombre,Bizkaia,Porcentaje,59.3
2017,Enseñanza,Hombre,Bizkaia,Porcentaje,72.2
2021,Enseñanza,Hombre,Gipuzkoa,Porcentaje,42.1
2017,Enseñanza,Hombre,Gipuzkoa,Porcentaje,72.7
2020,Enseñanza,Hombre,Gipuzkoa,Porcentaje,65.2
2022,Enseñanza,Hombre,Gipuzkoa,Porcentaje,65.7
2019,Enseñanza,Hombre,Gipuzkoa,Porcentaje,78.6
2023,Enseñanza,Hombre,Gipuzkoa,Porcentaje,66.1
2018,Enseñanza,Hombre,Gipuzkoa,Porcentaje,86.4
2016,Enseñanza,Hombre,Gipuzkoa,Porcentaje,80.0
2017,Asistencia sanitaria,,,Porcentaje,79.0
2013,Asistencia sanitaria,,,Porcentaje,50.9
2018,Asistencia sanitaria,,,Porcentaje,84.3
2011,Asistencia sanitaria,,,Porcentaje,73.1
2014,Asistencia sanitaria,,,Porcentaje,69.5
2019,Asistencia sanitaria,,,Porcentaje,81.5
2022,Asistencia sanitaria,,,Porcentaje,59.5
2021,Asistencia sanitaria,,,Porcentaje,75.0
2023,Asistencia sanitaria,,,Porcentaje,62.7
2020,Asistencia sanitaria,,,Porcentaje,77.2
2012,Asistencia sanitaria,,,Porcentaje,70.1
2016,Asistencia sanitaria,,,Porcentaje,67.2
2015,Asistencia sanitaria,,,Porcentaje,67.5
2017,Asistencia sanitaria,,Araba/Álava,Porcentaje,73.1
2023,Asistencia sanitaria,,Araba/Álava,Porcentaje,63.2
2019,Asistencia sanitaria,,Araba/Álava,Porcentaje,71.4
2021,Asistencia sanitaria,,Araba/Álava,Porcentaje,79.5
2016,Asistencia sanitaria,,Araba/Álava,Porcentaje,84.2
2020,Asistencia sanitaria,,Araba/Álava,Porcentaje,63.0
2018,Asistencia sanitaria,,Araba/Álava,Porcentaje,95.0
2022,Asistencia sanitaria,,Araba/Álava,Porcentaje,61.6
2021,Asistencia sanitaria,,Bizkaia,Porcentaje,74.7
2019,Asistencia sanitaria,,Bizkaia,Porcentaje,73.9
2022,Asistencia sanitaria,,Bizkaia,Porcentaje,58.8
2017,Asistencia sanitaria,,Bizkaia,Porcentaje,66.7
2016,Asistencia sanitaria,,Bizkaia,Porcentaje,54.7
2023,Asistencia sanitaria,,Bizkaia,Porcentaje,49.7
2020,Asistencia sanitaria,,Bizkaia,Porcentaje,80.8
2018,Asistencia sanitaria,,Bizkaia,Porcentaje,76.4
2018,Asistencia sanitaria,,Gipuzkoa,Porcentaje,89.1
2016,Asistencia sanitaria,,Gipuzkoa,Porcentaje,74.5
2020,Asistencia sanitaria,,Gipuzkoa,Porcentaje,80.7
2019,Asistencia sanitaria,,Gipuzkoa,Porcentaje,89.1
2021,Asistencia sanitaria,,Gipuzkoa,Porcentaje,74.5
2022,Asistencia sanitaria,,Gipuzkoa,Porcentaje,59.4
2023,Asistencia sanitaria,,Gipuzkoa,Porcentaje,70.6
2017,Asistencia sanitaria,,Gipuzkoa,Porcentaje,93.8
2016,Asistencia sanitaria,Mujer,,Porcentaje,61.3
2017,Asistencia sanitaria,Mujer,,Porcentaje,76.7
2021,Asistencia sanitaria,Mujer,,Porcentaje,66.3
2019,Asistencia sanitaria,Mujer,,Porcentaje,80.0
2023,Asistencia sanitaria,Mujer,,Porcentaje,55.3
2020,Asistencia sanitaria,Mujer,,Porcentaje,74.6
2022,Asistencia sanitaria,Mujer,,Porcentaje,63.5
2018,Asistencia sanitaria,Mujer,,Porcentaje,84.7
2022,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,77.3
2021,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,44.3
2020,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,62.5
2023,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,46.7
2017,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,75.0
2018,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,100.0
2016,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,77.8
2019,Asistencia sanitaria,Mujer,Araba/Álava,Porcentaje,66.7
2020,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,80.0
2023,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,39.9
2017,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,60.0
2021,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,63.4
2018,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,68.0
2022,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,70.2
2019,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,72.0
2016,Asistencia sanitaria,Mujer,Bizkaia,Porcentaje,48.1
2016,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,69.2
2017,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,95.7
2018,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,95.8
2022,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,54.7
2020,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,76.7
2023,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,67.8
2021,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,70.3
2019,Asistencia sanitaria,Mujer,Gipuzkoa,Porcentaje,88.2
2018,Asistencia sanitaria,Hombre,,Porcentaje,83.9
2023,Asistencia sanitaria,Hombre,,Porcentaje,70.8
2019,Asistencia sanitaria,Hombre,,Porcentaje,83.1
2017,Asistencia sanitaria,Hombre,,Porcentaje,81.4
2021,Asistencia sanitaria,Hombre,,Porcentaje,85.3
2020,Asistencia sanitaria,Hombre,,Porcentaje,80.0
2016,Asistencia sanitaria,Hombre,,Porcentaje,73.7
2022,Asistencia sanitaria,Hombre,,Porcentaje,55.6
2017,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,71.4
2022,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,44.8
2021,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,100.0
2016,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,90.0
2023,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,73.3
2019,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,75.0
2020,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,63.6
2018,Asistencia sanitaria,Hombre,Araba/Álava,Porcentaje,90.0
2023,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,63.1
2018,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,83.3
2016,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,61.5
2017,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,75.0
2019,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,76.2
2020,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,81.5
2021,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,89.8
2022,Asistencia sanitaria,Hombre,Bizkaia,Porcentaje,44.3
2021,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,79.6
2023,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,74.0
2019,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,90.0
2016,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,81.0
2017,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,92.0
2022,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,63.4
2020,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,85.2
2018,Asistencia sanitaria,Hombre,Gipuzkoa,Porcentaje,81.8
2016,Gestión de pensiones,,,Porcentaje,23.5
2017,Gestión de pensiones,,,Porcentaje,40.2
2019,Gestión de pensiones,,,Porcentaje,30.9
2012,Gestión de pensiones,,,Porcentaje,36.0
2015,Gestión de pensiones,,,Porcentaje,21.5
2021,Gestión de pensiones,,,Porcentaje,39.2
2011,Gestión de pensiones,,,Porcentaje,32.0
2013,Gestión de pensiones,,,Porcentaje,21.2
2023,Gestión de pensiones,,,Porcentaje,52.4
2020,Gestión de pensiones,,,Porcentaje,42.2
2018,Gestión de pensiones,,,Porcentaje,19.1
2022,Gestión de pensiones,,,Porcentaje,37.0
2014,Gestión de pensiones,,,Porcentaje,21.3
2017,Gestión de pensiones,,Araba/Álava,Porcentaje,65.2
2016,Gestión de pensiones,,Araba/Álava,Porcentaje,21.4
2020,Gestión de pensiones,,Araba/Álava,Porcentaje,37.0
2022,Gestión de pensiones,,Araba/Álava,Porcentaje,28.9
2018,Gestión de pensiones,,Araba/Álava,Porcentaje,11.1
2021,Gestión de pensiones,,Araba/Álava,Porcentaje,27.6
2023,Gestión de pensiones,,Araba/Álava,Porcentaje,58.7
2019,Gestión de pensiones,,Araba/Álava,Porcentaje,0.0
2016,Gestión de pensiones,,Bizkaia,Porcentaje,20.5
2018,Gestión de pensiones,,Bizkaia,Porcentaje,25.0
2022,Gestión de pensiones,,Bizkaia,Porcentaje,42.4
2021,Gestión de pensiones,,Bizkaia,Porcentaje,56.1
2017,Gestión de pensiones,,Bizkaia,Porcentaje,22.2
2023,Gestión de pensiones,,Bizkaia,Porcentaje,42.7
2019,Gestión de pensiones,,Bizkaia,Porcentaje,25.6
2020,Gestión de pensiones,,Bizkaia,Porcentaje,43.5
2022,Gestión de pensiones,,Gipuzkoa,Porcentaje,36.3
2019,Gestión de pensiones,,Gipuzkoa,Porcentaje,39.3
2018,Gestión de pensiones,,Gipuzkoa,Porcentaje,15.6
2016,Gestión de pensiones,,Gipuzkoa,Porcentaje,27.3
2020,Gestión de pensiones,,Gipuzkoa,Porcentaje,43.6
2021,Gestión de pensiones,,Gipuzkoa,Porcentaje,32.3
2017,Gestión de pensiones,,Gipuzkoa,Porcentaje,41.9
2023,Gestión de pensiones,,Gipuzkoa,Porcentaje,56.0
2020,Gestión de pensiones,Mujer,,Porcentaje,36.4
2023,Gestión de pensiones,Mujer,,Porcentaje,48.5
2022,Gestión de pensiones,Mujer,,Porcentaje,34.3
2018,Gestión de pensiones,Mujer,,Porcentaje,19.3
2021,Gestión de pensiones,Mujer,,Porcentaje,34.1
2017,Gestión de pensiones,Mujer,,Porcentaje,45.1
2019,Gestión de pensiones,Mujer,,Porcentaje,24.2
2016,Gestión de pensiones,Mujer,,Porcentaje,20.0
2017,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,63.6
2020,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,33.3
2018,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,20.0
2019,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,0.0
2022,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,38.6
2023,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,70.7
2021,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,0.0
2016,Gestión de pensiones,Mujer,Araba/Álava,Porcentaje,28.6
2018,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,30.4
2019,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,20.8
2020,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,31.8
2021,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,44.5
2022,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,33.4
2023,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,34.0
2017,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,20.0
2016,Gestión de pensiones,Mujer,Bizkaia,Porcentaje,16.7
2018,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,8.3
2019,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,29.4
2023,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,52.2
2022,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,33.2
2017,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,60.0
2020,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,41.4
2021,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,31.8
2016,Gestión de pensiones,Mujer,Gipuzkoa,Porcentaje,20.8
2023,Gestión de pensiones,Hombre,,Porcentaje,57.1
2019,Gestión de pensiones,Hombre,,Porcentaje,39.6
2016,Gestión de pensiones,Hombre,,Porcentaje,27.7
2021,Gestión de pensiones,Hombre,,Porcentaje,45.7
2022,Gestión de pensiones,Hombre,,Porcentaje,39.5
2020,Gestión de pensiones,Hombre,,Porcentaje,48.4
2018,Gestión de pensiones,Hombre,,Porcentaje,19.0
2017,Gestión de pensiones,Hombre,,Porcentaje,35.3
2016,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,14.3
2020,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,41.7
2019,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,0.0
2022,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,18.5
2018,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,0.0
2023,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,51.0
2017,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,66.7
2021,Gestión de pensiones,Hombre,Araba/Álava,Porcentaje,43.2
2021,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,74.0
2023,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,56.4
2018,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,20.7
2016,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,25.0
2017,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,25.0
2020,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,54.2
2022,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,55.2
2019,Gestión de pensiones,Hombre,Bizkaia,Porcentaje,33.3
2019,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,51.9
2020,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,46.2
2023,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,60.9
2022,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,38.1
2016,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,35.0
2017,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,26.1
2018,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,23.8
2021,Gestión de pensiones,Hombre,Gipuzkoa,Porcentaje,32.9
2021,Administración de justicia,,,Porcentaje,16.9
2016,Administración de justicia,,,Porcentaje,11.4
2015,Administración de justicia,,,Porcentaje,11.2
2019,Administración de justicia,,,Porcentaje,19.4
2022,Administración de justicia,,,Porcentaje,20.6
2013,Administración de justicia,,,Porcentaje,13.5
2012,Administración de justicia,,,Porcentaje,9.5
2017,Administración de justicia,,,Porcentaje,19.4
2018,Administración de justicia,,,Porcentaje,19.4
2011,Administración de justicia,,,Porcentaje,15.0
2014,Administración de justicia,,,Porcentaje,12.0
2020,Administración de justicia,,,Porcentaje,17.5
2023,Administración de justicia,,,Porcentaje,22.4
2019,Administración de justicia,,Araba/Álava,Porcentaje,0.0
2020,Administración de justicia,,Araba/Álava,Porcentaje,22.2
2016,Administración de justicia,,Araba/Álava,Porcentaje,10.5
2021,Administración de justicia,,Araba/Álava,Porcentaje,8.9
2023,Administración de justicia,,Araba/Álava,Porcentaje,14.5
2022,Administración de justicia,,Araba/Álava,Porcentaje,15.0
2018,Administración de justicia,,Araba/Álava,Porcentaje,12.5
2017,Administración de justicia,,Araba/Álava,Porcentaje,23.1
2022,Administración de justicia,,Bizkaia,Porcentaje,30.0
2017,Administración de justicia,,Bizkaia,Porcentaje,18.9
2023,Administración de justicia,,Bizkaia,Porcentaje,33.1
2020,Administración de justicia,,Bizkaia,Porcentaje,16.3
2016,Administración de justicia,,Bizkaia,Porcentaje,10.4
2018,Administración de justicia,,Bizkaia,Porcentaje,26.5
2019,Administración de justicia,,Bizkaia,Porcentaje,12.5
2021,Administración de justicia,,Bizkaia,Porcentaje,21.2
2017,Administración de justicia,,Gipuzkoa,Porcentaje,17.8
2021,Administración de justicia,,Gipuzkoa,Porcentaje,16.0
2019,Administración de justicia,,Gipuzkoa,Porcentaje,27.1
2023,Administración de justicia,,Gipuzkoa,Porcentaje,18.6
2018,Administración de justicia,,Gipuzkoa,Porcentaje,14.0
2022,Administración de justicia,,Gipuzkoa,Porcentaje,16.7
2020,Administración de justicia,,Gipuzkoa,Porcentaje,16.0
2016,Administración de justicia,,Gipuzkoa,Porcentaje,13.2
2016,Administración de justicia,Mujer,,Porcentaje,13.5
2023,Administración de justicia,Mujer,,Porcentaje,27.0
2019,Administración de justicia,Mujer,,Porcentaje,17.9
2018,Administración de justicia,Mujer,,Porcentaje,16.7
2022,Administración de justicia,Mujer,,Porcentaje,17.5
2020,Administración de justicia,Mujer,,Porcentaje,17.7
2017,Administración de justicia,Mujer,,Porcentaje,25.5
2021,Administración de justicia,Mujer,,Porcentaje,10.6
2018,Administración de justicia,Mujer,Araba/Álava,Porcentaje,14.3
2020,Administración de justicia,Mujer,Araba/Álava,Porcentaje,26.7
2017,Administración de justicia,Mujer,Araba/Álava,Porcentaje,16.7
2016,Administración de justicia,Mujer,Araba/Álava,Porcentaje,11.1
2019,Administración de justicia,Mujer,Araba/Álava,Porcentaje,0.0
2023,Administración de justicia,Mujer,Araba/Álava,Porcentaje,29.1
