Year,Tipo de competencia,Sexo,Units,Value
2023,Matemáticas,,%,81.0
2012,Matemáticas,,%,69.2
2012,Matemáticas,Mujer,%,67.0
2023,Matemáticas,Mujer,%,78.7
2012,Matemáticas,Hombre,%,71.5
2023,Matemáticas,Hombre,%,83.4
2023,Comprensión lectora,,%,77.6
2012,Comprensión lectora,,%,68.1
2012,Comprensión lectora,Mujer,%,68.2
2023,Comprensión lectora,Mujer,%,80.1
2023,Comprensión lectora,Hombre,%,74.9
2012,Comprensión lectora,Hombre,%,67.9
