Year,Sexo,Edad,Nacionalidad,Discapacidad,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,,,,,,,Sestao,%,Sestao,12.6
2010,,,,,,,Sondika,%,Sondika,7.3
2023,,,,,,,Sondika,%,Sondika,7.1
2022,,,,,,,Sondika,%,Sondika,8.8
2019,,,,,,,Sondika,%,Sondika,9.0
2018,,,,,,,Sondika,%,Sondika,8.6
2020,,,,,,,Sondika,%,Sondika,7.8
2016,,,,,,,Sondika,%,Sondika,12.2
2015,,,,,,,Sondika,%,Sondika,13.1
2021,,,,,,,Sondika,%,Sondika,9.1
2023,,,,,,,Sopela,%,Sopela,7.2
2015,,,,,,,Sopela,%,Sopela,14.8
2022,,,,,,,Sopela,%,Sopela,8.9
2019,,,,,,,Sopela,%,Sopela,9.5
2016,,,,,,,Sopela,%,Sopela,13.2
2021,,,,,,,Sopela,%,Sopela,10.9
2018,,,,,,,Sopela,%,Sopela,10.4
2010,,,,,,,Sopela,%,Sopela,9.5
2020,,,,,,,Sopela,%,Sopela,9.0
2015,,,,,,,Sopuerta,%,Sopuerta,17.6
2016,,,,,,,Sopuerta,%,Sopuerta,15.0
2020,,,,,,,Sopuerta,%,Sopuerta,8.4
2022,,,,,,,Sopuerta,%,Sopuerta,9.0
2019,,,,,,,Sopuerta,%,Sopuerta,10.2
2018,,,,,,,Sopuerta,%,Sopuerta,11.6
2010,,,,,,,Sopuerta,%,Sopuerta,10.3
2021,,,,,,,Sopuerta,%,Sopuerta,11.1
2023,,,,,,,Sopuerta,%,Sopuerta,7.5
2018,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.4
2010,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,9.6
2019,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,12.8
2021,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,13.0
2020,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,12.2
2016,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,18.0
2015,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,17.7
2022,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,12.1
2023,,,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,10.8
2018,,,,,,,Sukarrieta,%,Sukarrieta,12.4
2020,,,,,,,Sukarrieta,%,Sukarrieta,11.8
2021,,,,,,,Sukarrieta,%,Sukarrieta,10.7
2019,,,,,,,Sukarrieta,%,Sukarrieta,14.7
2015,,,,,,,Sukarrieta,%,Sukarrieta,15.2
2016,,,,,,,Sukarrieta,%,Sukarrieta,16.3
2010,,,,,,,Sukarrieta,%,Sukarrieta,9.0
2022,,,,,,,Sukarrieta,%,Sukarrieta,13.7
2023,,,,,,,Sukarrieta,%,Sukarrieta,11.4
2015,,,,,,,Tolosa,%,Tolosa,13.5
2020,,,,,,,Tolosa,%,Tolosa,7.3
2018,,,,,,,Tolosa,%,Tolosa,9.4
2016,,,,,,,Tolosa,%,Tolosa,12.2
2019,,,,,,,Tolosa,%,Tolosa,7.9
2023,,,,,,,Tolosa,%,Tolosa,6.8
2021,,,,,,,Tolosa,%,Tolosa,8.0
2010,,,,,,,Tolosa,%,Tolosa,7.5
2022,,,,,,,Tolosa,%,Tolosa,7.2
2015,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,17.6
2022,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,11.5
2010,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,11.6
2020,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,11.6
2023,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,9.7
2021,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,15.8
2018,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,21.5
2019,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,15.0
2016,,,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,22.6
2023,,,,,,,Ubide,%,Ubide,5.0
2021,,,,,,,Ubide,%,Ubide,15.1
2018,,,,,,,Ubide,%,Ubide,8.8
2022,,,,,,,Ubide,%,Ubide,6.3
2015,,,,,,,Ubide,%,Ubide,10.6
2019,,,,,,,Ubide,%,Ubide,11.0
2016,,,,,,,Ubide,%,Ubide,9.9
2020,,,,,,,Ubide,%,Ubide,8.1
2010,,,,,,,Ubide,%,Ubide,5.4
2023,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,8.6
2010,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,7.6
2018,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,12.1
2020,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,9.6
2022,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.0
2015,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,15.5
2019,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.7
2016,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,17.2
2021,,,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.8
2022,,,,,,,Urduliz,%,Urduliz,7.9
2016,,,,,,,Urduliz,%,Urduliz,12.1
2019,,,,,,,Urduliz,%,Urduliz,9.2
2010,,,,,,,Urduliz,%,Urduliz,8.8
2018,,,,,,,Urduliz,%,Urduliz,9.9
2020,,,,,,,Urduliz,%,Urduliz,9.5
2021,,,,,,,Urduliz,%,Urduliz,10.0
2015,,,,,,,Urduliz,%,Urduliz,14.2
2023,,,,,,,Urduliz,%,Urduliz,6.9
2021,,,,,,,Urduña/Orduña,%,Urduña/Orduña,14.2
2023,,,,,,,Urduña/Orduña,%,Urduña/Orduña,10.7
2018,,,,,,,Urduña/Orduña,%,Urduña/Orduña,14.5
2016,,,,,,,Urduña/Orduña,%,Urduña/Orduña,19.3
2015,,,,,,,Urduña/Orduña,%,Urduña/Orduña,19.1
2020,,,,,,,Urduña/Orduña,%,Urduña/Orduña,13.4
2019,,,,,,,Urduña/Orduña,%,Urduña/Orduña,14.9
2010,,,,,,,Urduña/Orduña,%,Urduña/Orduña,10.2
2022,,,,,,,Urduña/Orduña,%,Urduña/Orduña,12.9
2018,,,,,,,Urkabustaiz,%,Urkabustaiz,9.1
2020,,,,,,,Urkabustaiz,%,Urkabustaiz,9.3
2019,,,,,,,Urkabustaiz,%,Urkabustaiz,9.9
2016,,,,,,,Urkabustaiz,%,Urkabustaiz,11.2
2015,,,,,,,Urkabustaiz,%,Urkabustaiz,13.3
2010,,,,,,,Urkabustaiz,%,Urkabustaiz,6.4
2023,,,,,,,Urkabustaiz,%,Urkabustaiz,8.3
2021,,,,,,,Urkabustaiz,%,Urkabustaiz,10.9
2022,,,,,,,Urkabustaiz,%,Urkabustaiz,8.9
2021,,,,,,,Urnieta,%,Urnieta,8.9
2015,,,,,,,Urnieta,%,Urnieta,11.9
2020,,,,,,,Urnieta,%,Urnieta,6.7
2019,,,,,,,Urnieta,%,Urnieta,7.3
2010,,,,,,,Urnieta,%,Urnieta,7.6
2023,,,,,,,Urnieta,%,Urnieta,6.3
2018,,,,,,,Urnieta,%,Urnieta,8.0
2016,,,,,,,Urnieta,%,Urnieta,11.7
2022,,,,,,,Urnieta,%,Urnieta,7.1
2020,,,,,,,Urretxu,%,Urretxu,7.6
2018,,,,,,,Urretxu,%,Urretxu,9.1
2022,,,,,,,Urretxu,%,Urretxu,6.7
2010,,,,,,,Urretxu,%,Urretxu,7.0
2016,,,,,,,Urretxu,%,Urretxu,11.0
2021,,,,,,,Urretxu,%,Urretxu,8.5
2019,,,,,,,Urretxu,%,Urretxu,8.0
2015,,,,,,,Urretxu,%,Urretxu,13.0
2023,,,,,,,Urretxu,%,Urretxu,6.6
2019,,,,,,,Usurbil,%,Usurbil,7.4
2016,,,,,,,Usurbil,%,Usurbil,10.9
2018,,,,,,,Usurbil,%,Usurbil,8.6
2023,,,,,,,Usurbil,%,Usurbil,5.5
2021,,,,,,,Usurbil,%,Usurbil,8.2
2010,,,,,,,Usurbil,%,Usurbil,7.3
2022,,,,,,,Usurbil,%,Usurbil,6.6
2015,,,,,,,Usurbil,%,Usurbil,12.2
2020,,,,,,,Usurbil,%,Usurbil,7.0
2016,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,14.4
2010,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,10.0
2015,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,14.6
2019,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,9.8
2023,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,10.9
2022,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,12.0
2020,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,11.5
2018,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,9.2
2021,,,,,,,Valdegovía/Gaubea,%,Valdegovía/Gaubea,16.0
2021,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,12.3
2022,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,10.9
2023,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,9.6
2019,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,12.4
2016,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,17.2
2018,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,13.7
2010,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,9.6
2020,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,11.2
2015,,,,,,,Valle de Trápaga-Trapagaran,%,Valle de Trápaga-Trapagaran,17.5
2019,,,,,,,Villabona,%,Villabona,8.7
2016,,,,,,,Villabona,%,Villabona,14.2
2018,,,,,,,Villabona,%,Villabona,11.1
2020,,,,,,,Villabona,%,Villabona,9.2
2022,,,,,,,Villabona,%,Villabona,8.8
2010,,,,,,,Villabona,%,Villabona,9.3
2023,,,,,,,Villabona,%,Villabona,7.8
2015,,,,,,,Villabona,%,Villabona,14.8
2021,,,,,,,Villabona,%,Villabona,10.4
2016,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,6.6
2020,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,6.6
2018,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,4.3
2023,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,3.5
2022,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,3.4
2021,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,10.3
2015,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,9.7
2010,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,7.0
2019,,,,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,2.9
2020,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,10.5
2018,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,11.9
2016,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,15.0
2010,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,10.0
2019,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,11.2
2023,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,9.1
2021,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,12.1
2022,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,10.1
2015,,,,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,15.8
2023,,,,,,,Yécora/Iekora,%,Yécora/Iekora,7.4
2019,,,,,,,Yécora/Iekora,%,Yécora/Iekora,8.2
2022,,,,,,,Yécora/Iekora,%,Yécora/Iekora,5.1
2010,,,,,,,Yécora/Iekora,%,Yécora/Iekora,12.3
2015,,,,,,,Yécora/Iekora,%,Yécora/Iekora,20.2
2021,,,,,,,Yécora/Iekora,%,Yécora/Iekora,9.8
2016,,,,,,,Yécora/Iekora,%,Yécora/Iekora,17.3
2018,,,,,,,Yécora/Iekora,%,Yécora/Iekora,9.2
2020,,,,,,,Yécora/Iekora,%,Yécora/Iekora,11.2
2016,,,,,,,Zaldibar,%,Zaldibar,12.9
2021,,,,,,,Zaldibar,%,Zaldibar,9.5
2019,,,,,,,Zaldibar,%,Zaldibar,9.7
2015,,,,,,,Zaldibar,%,Zaldibar,13.8
2020,,,,,,,Zaldibar,%,Zaldibar,7.3
2022,,,,,,,Zaldibar,%,Zaldibar,7.7
2018,,,,,,,Zaldibar,%,Zaldibar,9.9
2010,,,,,,,Zaldibar,%,Zaldibar,8.8
2023,,,,,,,Zaldibar,%,Zaldibar,7.3
2015,,,,,,,Zaldibia,%,Zaldibia,12.7
2020,,,,,,,Zaldibia,%,Zaldibia,5.7
2018,,,,,,,Zaldibia,%,Zaldibia,5.5
2023,,,,,,,Zaldibia,%,Zaldibia,5.8
2010,,,,,,,Zaldibia,%,Zaldibia,6.8
2021,,,,,,,Zaldibia,%,Zaldibia,9.1
2019,,,,,,,Zaldibia,%,Zaldibia,6.3
2016,,,,,,,Zaldibia,%,Zaldibia,10.1
2022,,,,,,,Zaldibia,%,Zaldibia,7.4
2020,,,,,,,Zalduondo,%,Zalduondo,6.4
2021,,,,,,,Zalduondo,%,Zalduondo,8.3
2016,,,,,,,Zalduondo,%,Zalduondo,10.6
2019,,,,,,,Zalduondo,%,Zalduondo,3.9
2018,,,,,,,Zalduondo,%,Zalduondo,6.8
2023,,,,,,,Zalduondo,%,Zalduondo,5.3
2010,,,,,,,Zalduondo,%,Zalduondo,5.6
2022,,,,,,,Zalduondo,%,Zalduondo,7.4
2015,,,,,,,Zalduondo,%,Zalduondo,11.4
2019,,,,,,,Zalla,%,Zalla,13.6
2016,,,,,,,Zalla,%,Zalla,20.4
2022,,,,,,,Zalla,%,Zalla,11.3
2010,,,,,,,Zalla,%,Zalla,9.9
2020,,,,,,,Zalla,%,Zalla,12.9
2015,,,,,,,Zalla,%,Zalla,20.6
2021,,,,,,,Zalla,%,Zalla,13.3
2023,,,,,,,Zalla,%,Zalla,10.5
2018,,,,,,,Zalla,%,Zalla,14.8
2015,,,,,,,Zambrana,%,Zambrana,24.5
2022,,,,,,,Zambrana,%,Zambrana,11.5
2021,,,,,,,Zambrana,%,Zambrana,14.1
2019,,,,,,,Zambrana,%,Zambrana,14.6
2016,,,,,,,Zambrana,%,Zambrana,19.1
2023,,,,,,,Zambrana,%,Zambrana,10.9
2010,,,,,,,Zambrana,%,Zambrana,13.5
2020,,,,,,,Zambrana,%,Zambrana,10.6
2018,,,,,,,Zambrana,%,Zambrana,19.6
2020,,,,,,,Zamudio,%,Zamudio,8.5
2016,,,,,,,Zamudio,%,Zamudio,12.9
2018,,,,,,,Zamudio,%,Zamudio,9.8
2021,,,,,,,Zamudio,%,Zamudio,9.8
2019,,,,,,,Zamudio,%,Zamudio,9.5
2023,,,,,,,Zamudio,%,Zamudio,7.2
2015,,,,,,,Zamudio,%,Zamudio,14.6
2022,,,,,,,Zamudio,%,Zamudio,8.3
2010,,,,,,,Zamudio,%,Zamudio,8.9
2018,,,,,,,Zaratamo,%,Zaratamo,12.9
2022,,,,,,,Zaratamo,%,Zaratamo,11.5
2021,,,,,,,Zaratamo,%,Zaratamo,13.1
2016,,,,,,,Zaratamo,%,Zaratamo,16.4
2020,,,,,,,Zaratamo,%,Zaratamo,11.4
2019,,,,,,,Zaratamo,%,Zaratamo,13.2
2015,,,,,,,Zaratamo,%,Zaratamo,17.3
2023,,,,,,,Zaratamo,%,Zaratamo,10.0
2010,,,,,,,Zaratamo,%,Zaratamo,8.9
2023,,,,,,,Zarautz,%,Zarautz,5.6
2010,,,,,,,Zarautz,%,Zarautz,9.1
2019,,,,,,,Zarautz,%,Zarautz,7.6
2020,,,,,,,Zarautz,%,Zarautz,7.3
2021,,,,,,,Zarautz,%,Zarautz,8.4
2018,,,,,,,Zarautz,%,Zarautz,8.6
2022,,,,,,,Zarautz,%,Zarautz,6.6
2016,,,,,,,Zarautz,%,Zarautz,12.5
2015,,,,,,,Zarautz,%,Zarautz,13.8
2022,,,,,,,Zeanuri,%,Zeanuri,6.4
2018,,,,,,,Zeanuri,%,Zeanuri,6.5
2015,,,,,,,Zeanuri,%,Zeanuri,9.4
2010,,,,,,,Zeanuri,%,Zeanuri,6.7
2020,,,,,,,Zeanuri,%,Zeanuri,6.3
2019,,,,,,,Zeanuri,%,Zeanuri,6.9
2023,,,,,,,Zeanuri,%,Zeanuri,5.6
2016,,,,,,,Zeanuri,%,Zeanuri,7.1
2021,,,,,,,Zeanuri,%,Zeanuri,8.4
2023,,,,,,,Zeberio,%,Zeberio,6.7
2016,,,,,,,Zeberio,%,Zeberio,11.0
2019,,,,,,,Zeberio,%,Zeberio,8.3
2010,,,,,,,Zeberio,%,Zeberio,4.8
2020,,,,,,,Zeberio,%,Zeberio,7.9
2022,,,,,,,Zeberio,%,Zeberio,6.9
2015,,,,,,,Zeberio,%,Zeberio,12.0
2021,,,,,,,Zeberio,%,Zeberio,9.0
2018,,,,,,,Zeberio,%,Zeberio,9.7
2021,,,,,,,Zegama,%,Zegama,7.0
2016,,,,,,,Zegama,%,Zegama,12.2
2010,,,,,,,Zegama,%,Zegama,9.9
2015,,,,,,,Zegama,%,Zegama,11.4
2019,,,,,,,Zegama,%,Zegama,7.1
2020,,,,,,,Zegama,%,Zegama,5.7
2023,,,,,,,Zegama,%,Zegama,4.4
2018,,,,,,,Zegama,%,Zegama,8.6
2022,,,,,,,Zegama,%,Zegama,5.5
2022,,,,,,,Zerain,%,Zerain,1.5
2021,,,,,,,Zerain,%,Zerain,2.5
2018,,,,,,,Zerain,%,Zerain,7.4
2020,,,,,,,Zerain,%,Zerain,5.1
2019,,,,,,,Zerain,%,Zerain,2.6
2023,,,,,,,Zerain,%,Zerain,3.9
2010,,,,,,,Zerain,%,Zerain,7.0
2015,,,,,,,Zerain,%,Zerain,12.7
2016,,,,,,,Zerain,%,Zerain,9.1
2019,,,,,,,Zestoa,%,Zestoa,10.8
2020,,,,,,,Zestoa,%,Zestoa,9.9
2022,,,,,,,Zestoa,%,Zestoa,8.0
2018,,,,,,,Zestoa,%,Zestoa,11.7
2016,,,,,,,Zestoa,%,Zestoa,15.9
2023,,,,,,,Zestoa,%,Zestoa,7.3
2021,,,,,,,Zestoa,%,Zestoa,11.3
2010,,,,,,,Zestoa,%,Zestoa,9.8
2015,,,,,,,Zestoa,%,Zestoa,17.7
2022,,,,,,,Zierbena,%,Zierbena,8.5
2023,,,,,,,Zierbena,%,Zierbena,5.9
2010,,,,,,,Zierbena,%,Zierbena,8.4
2018,,,,,,,Zierbena,%,Zierbena,11.9
2016,,,,,,,Zierbena,%,Zierbena,15.6
2015,,,,,,,Zierbena,%,Zierbena,17.5
2019,,,,,,,Zierbena,%,Zierbena,9.1
2020,,,,,,,Zierbena,%,Zierbena,10.8
2021,,,,,,,Zierbena,%,Zierbena,12.2
2020,,,,,,,Zigoitia,%,Zigoitia,5.8
2023,,,,,,,Zigoitia,%,Zigoitia,3.9
2010,,,,,,,Zigoitia,%,Zigoitia,4.8
2022,,,,,,,Zigoitia,%,Zigoitia,5.0
2015,,,,,,,Zigoitia,%,Zigoitia,8.2
2021,,,,,,,Zigoitia,%,Zigoitia,5.4
2019,,,,,,,Zigoitia,%,Zigoitia,5.0
2018,,,,,,,Zigoitia,%,Zigoitia,4.7
2016,,,,,,,Zigoitia,%,Zigoitia,7.9
2022,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,7.3
2018,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,9.0
2020,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,5.1
2010,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,11.8
2023,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,7.1
2015,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,9.5
2019,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,7.6
2021,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,6.3
2016,,,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,13.4
2021,,,,,,,Zizurkil,%,Zizurkil,10.1
2020,,,,,,,Zizurkil,%,Zizurkil,9.0
2015,,,,,,,Zizurkil,%,Zizurkil,14.8
2023,,,,,,,Zizurkil,%,Zizurkil,6.0
2010,,,,,,,Zizurkil,%,Zizurkil,9.1
2022,,,,,,,Zizurkil,%,Zizurkil,7.3
2016,,,,,,,Zizurkil,%,Zizurkil,13.2
2019,,,,,,,Zizurkil,%,Zizurkil,8.5
2018,,,,,,,Zizurkil,%,Zizurkil,10.5
2016,,,,,,,Zuia,%,Zuia,9.4
2023,,,,,,,Zuia,%,Zuia,5.0
2010,,,,,,,Zuia,%,Zuia,7.6
2022,,,,,,,Zuia,%,Zuia,6.1
2020,,,,,,,Zuia,%,Zuia,4.5
2018,,,,,,,Zuia,%,Zuia,5.5
2015,,,,,,,Zuia,%,Zuia,11.4
2021,,,,,,,Zuia,%,Zuia,6.5
2019,,,,,,,Zuia,%,Zuia,5.5
2010,,,,,,,Zumaia,%,Zumaia,8.7
2021,,,,,,,Zumaia,%,Zumaia,9.0
2019,,,,,,,Zumaia,%,Zumaia,8.2
2022,,,,,,,Zumaia,%,Zumaia,7.1
2023,,,,,,,Zumaia,%,Zumaia,5.8
2015,,,,,,,Zumaia,%,Zumaia,12.9
2018,,,,,,,Zumaia,%,Zumaia,9.2
2016,,,,,,,Zumaia,%,Zumaia,13.9
2020,,,,,,,Zumaia,%,Zumaia,7.6
2022,,,,,,,Zumarraga,%,Zumarraga,9.4
2023,,,,,,,Zumarraga,%,Zumarraga,8.5
2019,,,,,,,Zumarraga,%,Zumarraga,10.2
2021,,,,,,,Zumarraga,%,Zumarraga,11.0
2016,,,,,,,Zumarraga,%,Zumarraga,14.4
2010,,,,,,,Zumarraga,%,Zumarraga,10.0
2015,,,,,,,Zumarraga,%,Zumarraga,15.0
2020,,,,,,,Zumarraga,%,Zumarraga,9.4
2018,,,,,,,Zumarraga,%,Zumarraga,11.4
2010,,,,,,Añana (comarca),,%,Añana (comarca),10.8
2022,,,,,,Añana (comarca),,%,Añana (comarca),8.7
2018,,,,,,Añana (comarca),,%,Añana (comarca),11.3
2019,,,,,,Añana (comarca),,%,Añana (comarca),9.6
2023,,,,,,Añana (comarca),,%,Añana (comarca),7.8
2020,,,,,,Añana (comarca),,%,Añana (comarca),9.5
2016,,,,,,Añana (comarca),,%,Añana (comarca),14.5
2015,,,,,,Añana (comarca),,%,Añana (comarca),17.3
2021,,,,,,Añana (comarca),,%,Añana (comarca),11.2
2016,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,16.8
2020,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,11.9
2015,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,19.1
2010,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,13.3
2022,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,10.0
2018,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,13.4
2019,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,12.8
2023,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,9.6
2021,,,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,13.5
2019,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,11.2
2015,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,16.1
2010,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,8.9
2018,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,12.1
2021,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,12.0
2023,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,8.4
2022,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,9.5
2016,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,15.6
2020,,,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,10.8
2018,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,11.8
2020,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,10.5
2015,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,15.7
2010,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,9.9
2019,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,11.2
2016,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,14.9
2023,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,9.0
2022,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,10.0
2021,,,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,12.0
2023,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,5.8
2020,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,7.0
2010,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,7.7
2016,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,10.4
2019,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,7.0
2015,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,10.5
2022,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,7.0
2018,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,9.0
2021,,,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,8.5
2018,,,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,11.1
2019,,,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,10.1
2022,,,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,9.4
