Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,75.3
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,79.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,79.8
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,81.3
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,72.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,81.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,79.3
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,80.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,79.2
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,80.9
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,75.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,71.9
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,83.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,Porcentaje,81.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,71.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,78.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,68.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,76.6
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,80.9
