Year,Series,Territorio histórico,Units,Value
2018,Productividad de los pequeños productores de alimentos,,Euros,12030.9
2020,Productividad de los pequeños productores de alimentos,,Euros,9818.3
2019,Productividad de los pequeños productores de alimentos,,Euros,10646.1
2016,Productividad de los pequeños productores de alimentos,,Euros,10978.5
2015,Productividad de los pequeños productores de alimentos,,Euros,10150.0
2017,Productividad de los pequeños productores de alimentos,,Euros,12294.5
2021,Productividad de los pequeños productores de alimentos,,Euros,10509.0
2016,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,4537.4
2021,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,5528.7
2017,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,5057.9
2019,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,6400.4
2020,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,5071.3
2018,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,5442.0
2015,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros,4172.9
2018,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,10550.5
2015,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,10831.9
2017,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,11225.2
2019,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,9738.4
2016,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,10140.6
2021,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,9670.7
2020,Productividad de los pequeños productores de alimentos,Bizkaia,Euros,9413.9
2015,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,11666.0
2021,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,12048.2
2018,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,13733.6
2020,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,11080.9
2017,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,13878.5
2019,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,11900.8
2016,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros,12569.2
2018,Productividad de los grandes productores de alimentos,,Euros,44914.3
2015,Productividad de los grandes productores de alimentos,,Euros,43924.4
2019,Productividad de los grandes productores de alimentos,,Euros,46168.5
2020,Productividad de los grandes productores de alimentos,,Euros,45942.5
2021,Productividad de los grandes productores de alimentos,,Euros,50293.1
2017,Productividad de los grandes productores de alimentos,,Euros,42600.2
2016,Productividad de los grandes productores de alimentos,,Euros,43308.1
2016,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,36918.9
2015,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,39222.8
2020,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,40460.4
2018,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,36631.3
2017,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,33711.7
2019,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,37348.9
2021,Productividad de los grandes productores de alimentos,Araba/Álava,Euros,41426.0
2021,Productividad de los grandes productores de alimentos,Bizkaia,Euros,52025.6
2020,Productividad de los grandes productores de alimentos,Bizkaia,Euros,50356.7
2018,Productividad de los grandes productores de alimentos,Bizkaia,Euros,49326.0
2015,Productividad de los grandes productores de alimentos,Bizkaia,Euros,43917.9
2017,Productividad de los grandes productores de alimentos,Bizkaia,Euros,44660.2
2016,Productividad de los grandes productores de alimentos,Bizkaia,Euros,43852.2
2019,Productividad de los grandes productores de alimentos,Bizkaia,Euros,52252.4
2021,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,54538.2
2015,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,46579.9
2019,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,49106.7
2018,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,48274.0
2017,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,47269.8
2016,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,46975.4
2020,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros,47324.6
