Year,Dimensión de la pobreza,Sexo,Units,Value
2014,,,Porcentaje,22.7
2020,,,Porcentaje,19.9
2008,,,Porcentaje,17.9
2018,,,Porcentaje,20.7
2004,,,Porcentaje,19.6
2022,,,Porcentaje,19.5
2012,,,Porcentaje,19.9
2016,,,Porcentaje,20.6
2004,Riesgo de pobreza (monetaria),,Porcentaje,16.5
2022,Riesgo de pobreza (monetaria),,Porcentaje,16.5
2014,Riesgo de pobreza (monetaria),,Porcentaje,18.5
2008,Riesgo de pobreza (monetaria),,Porcentaje,14.8
2016,Riesgo de pobreza (monetaria),,Porcentaje,16.4
2018,Riesgo de pobreza (monetaria),,Porcentaje,17.7
2012,Riesgo de pobreza (monetaria),,Porcentaje,15.4
2020,Riesgo de pobreza (monetaria),,Porcentaje,17.8
2008,Carencia material y social severa,,Porcentaje,2.7
2018,Carencia material y social severa,,Porcentaje,5.6
2014,Carencia material y social severa,,Porcentaje,5.2
2012,Carencia material y social severa,,Porcentaje,5.8
2004,Carencia material y social severa,,Porcentaje,3.6
2022,Carencia material y social severa,,Porcentaje,4.7
2020,Carencia material y social severa,,Porcentaje,4.1
2016,Carencia material y social severa,,Porcentaje,6.4
2012,Baja intensidad de trabajo,,Porcentaje,9.9
2020,Baja intensidad de trabajo,,Porcentaje,7.6
2018,Baja intensidad de trabajo,,Porcentaje,9.1
2014,Baja intensidad de trabajo,,Porcentaje,12.0
2004,Baja intensidad de trabajo,,Porcentaje,6.4
2008,Baja intensidad de trabajo,,Porcentaje,5.6
2022,Baja intensidad de trabajo,,Porcentaje,7.8
2016,Baja intensidad de trabajo,,Porcentaje,10.2
2012,,Mujer,Porcentaje,21.0
2020,,Mujer,Porcentaje,21.0
2018,,Mujer,Porcentaje,21.7
2004,,Mujer,Porcentaje,22.0
2014,,Mujer,Porcentaje,23.3
2008,,Mujer,Porcentaje,20.3
2016,,Mujer,Porcentaje,21.5
2022,,Mujer,Porcentaje,20.5
2016,Riesgo de pobreza (monetaria),Mujer,Porcentaje,17.6
2004,Riesgo de pobreza (monetaria),Mujer,Porcentaje,18.6
2012,Riesgo de pobreza (monetaria),Mujer,Porcentaje,16.7
2018,Riesgo de pobreza (monetaria),Mujer,Porcentaje,18.8
2014,Riesgo de pobreza (monetaria),Mujer,Porcentaje,19.4
2022,Riesgo de pobreza (monetaria),Mujer,Porcentaje,17.7
2020,Riesgo de pobreza (monetaria),Mujer,Porcentaje,18.9
2008,Riesgo de pobreza (monetaria),Mujer,Porcentaje,16.6
2022,Carencia material y social severa,Mujer,Porcentaje,4.7
2020,Carencia material y social severa,Mujer,Porcentaje,4.3
2018,Carencia material y social severa,Mujer,Porcentaje,5.7
2016,Carencia material y social severa,Mujer,Porcentaje,6.5
2014,Carencia material y social severa,Mujer,Porcentaje,5.2
2012,Carencia material y social severa,Mujer,Porcentaje,5.6
2008,Carencia material y social severa,Mujer,Porcentaje,3.0
2004,Carencia material y social severa,Mujer,Porcentaje,3.8
2022,Baja intensidad de trabajo,Mujer,Porcentaje,8.1
2014,Baja intensidad de trabajo,Mujer,Porcentaje,11.9
2008,Baja intensidad de trabajo,Mujer,Porcentaje,6.4
2004,Baja intensidad de trabajo,Mujer,Porcentaje,7.3
2012,Baja intensidad de trabajo,Mujer,Porcentaje,9.9
2016,Baja intensidad de trabajo,Mujer,Porcentaje,10.3
2020,Baja intensidad de trabajo,Mujer,Porcentaje,7.6
2018,Baja intensidad de trabajo,Mujer,Porcentaje,9.6
2018,,Hombre,Porcentaje,19.6
2008,,Hombre,Porcentaje,15.4
2020,,Hombre,Porcentaje,18.8
2004,,Hombre,Porcentaje,17.0
2016,,Hombre,Porcentaje,19.6
2012,,Hombre,Porcentaje,18.8
2014,,Hombre,Porcentaje,22.0
2022,,Hombre,Porcentaje,18.3
2018,Riesgo de pobreza (monetaria),Hombre,Porcentaje,16.5
2022,Riesgo de pobreza (monetaria),Hombre,Porcentaje,15.2
2020,Riesgo de pobreza (monetaria),Hombre,Porcentaje,16.6
2014,Riesgo de pobreza (monetaria),Hombre,Porcentaje,17.6
2008,Riesgo de pobreza (monetaria),Hombre,Porcentaje,12.9
2012,Riesgo de pobreza (monetaria),Hombre,Porcentaje,14.0
2016,Riesgo de pobreza (monetaria),Hombre,Porcentaje,15.1
2004,Riesgo de pobreza (monetaria),Hombre,Porcentaje,14.3
2008,Carencia material y social severa,Hombre,Porcentaje,2.5
2004,Carencia material y social severa,Hombre,Porcentaje,3.3
2022,Carencia material y social severa,Hombre,Porcentaje,4.7
2020,Carencia material y social severa,Hombre,Porcentaje,4.0
2018,Carencia material y social severa,Hombre,Porcentaje,5.4
2016,Carencia material y social severa,Hombre,Porcentaje,6.3
2014,Carencia material y social severa,Hombre,Porcentaje,5.3
2012,Carencia material y social severa,Hombre,Porcentaje,6.0
2022,Baja intensidad de trabajo,Hombre,Porcentaje,7.4
2020,Baja intensidad de trabajo,Hombre,Porcentaje,7.7
2018,Baja intensidad de trabajo,Hombre,Porcentaje,8.5
2016,Baja intensidad de trabajo,Hombre,Porcentaje,10.1
2014,Baja intensidad de trabajo,Hombre,Porcentaje,12.1
2012,Baja intensidad de trabajo,Hombre,Porcentaje,9.9
2008,Baja intensidad de trabajo,Hombre,Porcentaje,4.8
2004,Baja intensidad de trabajo,Hombre,Porcentaje,5.6
