Year,Series,Territorio histórico,Units,Value
2013,Tasa de desempleo,Bizkaia,Porcentaje,16.7
2010,Tasa de desempleo,Bizkaia,Porcentaje,10.0
2014,Tasa de desempleo,Bizkaia,Porcentaje,17.2
2011,Tasa de desempleo,Bizkaia,Porcentaje,13.2
2022,Tasa de desempleo,Bizkaia,Porcentaje,9.3
2017,Tasa de desempleo,Bizkaia,Porcentaje,12.9
2012,Tasa de desempleo,Bizkaia,Porcentaje,14.2
2020,Tasa de desempleo,Bizkaia,Porcentaje,11.9
2015,Tasa de desempleo,Bizkaia,Porcentaje,17.0
2023,Tasa de desempleo,Bizkaia,Porcentaje,8.7
2015,Tasa de desempleo,Gipuzkoa,Porcentaje,13.3
2020,Tasa de desempleo,Gipuzkoa,Porcentaje,8.2
2018,Tasa de desempleo,Gipuzkoa,Porcentaje,8.1
2023,Tasa de desempleo,Gipuzkoa,Porcentaje,6.4
2010,Tasa de desempleo,Gipuzkoa,Porcentaje,7.4
2022,Tasa de desempleo,Gipuzkoa,Porcentaje,7.0
2021,Tasa de desempleo,Gipuzkoa,Porcentaje,8.0
2019,Tasa de desempleo,Gipuzkoa,Porcentaje,7.4
2017,Tasa de desempleo,Gipuzkoa,Porcentaje,9.3
2014,Tasa de desempleo,Gipuzkoa,Porcentaje,13.9
2013,Tasa de desempleo,Gipuzkoa,Porcentaje,12.5
2012,Tasa de desempleo,Gipuzkoa,Porcentaje,8.9
2011,Tasa de desempleo,Gipuzkoa,Porcentaje,8.2
2016,Tasa de desempleo,Gipuzkoa,Porcentaje,11.3
2017,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,2.0
2011,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,3.1
2010,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,1.7
2015,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,-0.3
2014,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,0.2
2023,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,3.6
2020,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,-0.1
2012,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,2.3
2021,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,3.1
2018,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,1.6
2019,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,1.0
2016,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,0.0
2013,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,1.6
2022,Tasa de variación interanual del índice de precios de consumo,,Porcentaje,8.0
2015,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,-0.2
2018,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,1.4
2011,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,3.1
2019,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,0.9
2014,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,0.1
2017,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,2.1
2012,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,2.1
2022,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,8.1
2010,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,1.8
2016,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,-0.1
2020,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,-0.3
2023,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,3.0
2021,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,3.2
2013,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,Porcentaje,1.3
2021,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,3.1
2022,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,8.3
2020,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,0.0
2023,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,3.6
2010,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,1.8
2016,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,0.1
2019,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,0.9
2012,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,2.4
2014,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,0.2
2018,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,1.6
2015,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,-0.4
2017,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,2.0
2013,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,1.6
2011,Tasa de variación interanual del índice de precios de consumo,Bizkaia,Porcentaje,3.1
2021,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,3.1
2020,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,-0.2
2023,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,3.9
2018,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,1.8
2010,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,1.5
2013,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,1.6
2019,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,1.1
2017,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,1.9
2022,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,7.7
2016,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,0.0
2015,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,-0.1
2014,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,0.2
2012,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,2.3
2011,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,Porcentaje,3.0
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.4
2022,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.5
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.5
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.4
2021,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.5
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.4
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.4
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.5
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.5
