Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2015,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2023,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2020,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2021,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2018,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2022,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2014,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2010,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2016,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2013,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2019,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2020,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2018,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2015,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2021,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2023,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2016,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2013,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2010,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2019,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2014,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2022,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2018,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2013,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2016,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2022,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2015,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2021,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2020,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2023,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2010,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2014,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2019,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2021,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2015,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2016,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2019,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2013,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2014,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2023,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2010,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2018,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2020,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2022,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2014,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2020,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2015,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2023,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2022,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2016,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2013,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2019,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2010,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2021,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2018,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2016,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2023,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2019,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2015,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2022,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2013,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2010,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2021,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2018,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2020,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2014,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2014,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2018,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2021,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2013,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2019,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.3
2015,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2023,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2022,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2010,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2016,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2020,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2020,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2014,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2010,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.3
2022,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2021,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2015,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2013,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2023,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2016,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2018,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2019,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.6
2021,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2016,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2020,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2010,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2019,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2023,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2014,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2015,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2018,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2022,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2013,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2020,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,98.9
2010,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,98.9
2018,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2019,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,98.9
2023,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2021,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2013,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2016,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
