Year,Series,Territorio histórico,Units,Value
2015,Proporción de residuos urbanos reciclados,,%,36.4
2016,Proporción de residuos urbanos reciclados,,%,38.0
2019,Proporción de residuos urbanos reciclados,,%,44.7
2013,Proporción de residuos urbanos reciclados,,%,28.2
2018,Proporción de residuos urbanos reciclados,,%,41.5
2010,Proporción de residuos urbanos reciclados,,%,24.7
2020,Proporción de residuos urbanos reciclados,,%,47.2
2011,Proporción de residuos urbanos reciclados,,%,25.6
2014,Proporción de residuos urbanos reciclados,,%,33.3
2017,Proporción de residuos urbanos reciclados,,%,39.3
2012,Proporción de residuos urbanos reciclados,,%,28.5
2014,Proporción de residuos urbanos reciclados,Araba/Álava,%,27.0
2013,Proporción de residuos urbanos reciclados,Araba/Álava,%,24.2
2020,Proporción de residuos urbanos reciclados,Araba/Álava,%,39.2
2017,Proporción de residuos urbanos reciclados,Araba/Álava,%,31.3
2016,Proporción de residuos urbanos reciclados,Araba/Álava,%,33.7
2018,Proporción de residuos urbanos reciclados,Araba/Álava,%,31.5
2019,Proporción de residuos urbanos reciclados,Araba/Álava,%,38.4
2015,Proporción de residuos urbanos reciclados,Araba/Álava,%,30.6
2013,Proporción de residuos urbanos reciclados,Bizkaia,%,26.6
2015,Proporción de residuos urbanos reciclados,Bizkaia,%,28.7
2018,Proporción de residuos urbanos reciclados,Bizkaia,%,35.8
2014,Proporción de residuos urbanos reciclados,Bizkaia,%,28.2
2017,Proporción de residuos urbanos reciclados,Bizkaia,%,34.8
2019,Proporción de residuos urbanos reciclados,Bizkaia,%,37.9
2016,Proporción de residuos urbanos reciclados,Bizkaia,%,31.2
2020,Proporción de residuos urbanos reciclados,Bizkaia,%,38.1
2020,Proporción de residuos urbanos reciclados,Gipuzkoa,%,69.3
2015,Proporción de residuos urbanos reciclados,Gipuzkoa,%,48.3
2017,Proporción de residuos urbanos reciclados,Gipuzkoa,%,48.7
2018,Proporción de residuos urbanos reciclados,Gipuzkoa,%,52.9
2019,Proporción de residuos urbanos reciclados,Gipuzkoa,%,59.3
2014,Proporción de residuos urbanos reciclados,Gipuzkoa,%,41.9
2013,Proporción de residuos urbanos reciclados,Gipuzkoa,%,31.9
2016,Proporción de residuos urbanos reciclados,Gipuzkoa,%,48.4
