Year,Series,Units,Value
2014,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,78025.0
2018,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,92935.0
2011,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,70847.0
2012,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,70847.0
2019,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,95091.0
2020,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,98696.0
2016,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,85839.0
2013,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,71709.0
2017,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,91153.0
2015,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,78208.0
2021,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,101165.0
2011,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,14.28
2014,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,15.87
2021,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,20.7
2018,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,18.9
2019,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,19.34
2012,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,14.41
2015,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,15.9
2016,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,17.45
2020,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,20.07
2017,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,18.54
2013,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Porcentaje,14.58
