Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2023,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2010,Proporción de viviendas con baño,,,,Porcentaje,,99.5
2022,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2014,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2015,Proporción de viviendas con baño,,,,Porcentaje,,99.6
2021,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2013,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2021,Proporción de viviendas con baño,,,,Porcentaje,,99.8
2016,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2015,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2020,Proporción de viviendas con baño,,,,Porcentaje,,99.8
2016,Proporción de viviendas con baño,,,,Porcentaje,,99.6
2020,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2018,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2013,Proporción de viviendas con baño,,,,Porcentaje,,99.6
2023,Proporción de viviendas con baño,,,,Porcentaje,,99.8
2019,Proporción de viviendas con baño,,,,Porcentaje,,99.6
2022,Proporción de viviendas con baño,,,,Porcentaje,,99.8
2014,Proporción de viviendas con baño,,,,Porcentaje,,99.6
2018,Proporción de viviendas con baño,,,,Porcentaje,,99.6
2010,Proporción de viviendas con agua corriente,,,,Porcentaje,,99.9
2022,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2015,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.7
2016,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2010,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.7
2023,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2015,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.7
2019,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.8
2020,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2021,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2021,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,100.0
2019,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2010,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2018,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.8
2022,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,100.0
2014,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.7
2020,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,100.0
2018,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2014,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Proporción de viviendas con agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2016,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,99.7
2023,Proporción de viviendas con baño,,,Abadiño,Porcentaje,Abadiño,100.0
2019,Proporción de viviendas con agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2018,Proporción de viviendas con agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2020,Proporción de viviendas con agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2014,Proporción de viviendas con agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2018,Proporción de viviendas con baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2014,Proporción de viviendas con baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2022,Proporción de viviendas con baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.1
2013,Proporción de viviendas con baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
