Year,Units,Value
2008,Porcentaje,9.1
2009,Porcentaje,10.0
2010,Porcentaje,11.7
2011,Porcentaje,13.8
2012,Porcentaje,13.3
2013,Porcentaje,10.5
2014,Porcentaje,10.2
2015,Porcentaje,10.9
2016,Porcentaje,9.0
2017,Porcentaje,9.7
2018,Porcentaje,8.6
2019,Porcentaje,10.0
2020,Porcentaje,10.0
2021,Porcentaje,12.2
2022,Porcentaje,12.2
2023,Porcentaje,10.2
2024,Porcentaje,9.4
