Year,Sexo,Units,Value
2021,,Por 100.000,0.6
2020,,Por 100.000,0.4
2010,,Por 100.000,1.6
2019,,Por 100.000,0.2
2015,,Por 100.000,0.7
2016,,Por 100.000,0.5
2012,,Por 100.000,0.9
2017,,Por 100.000,0.9
2011,,Por 100.000,1.1
2018,,Por 100.000,0.6
2023,,Por 100.000,0.1
2014,,Por 100.000,1.1
2013,,Por 100.000,1.1
2022,,Por 100.000,0.5
2010,Mujer,Por 100.000,0.5
2011,Mujer,Por 100.000,0.2
2013,Mujer,Por 100.000,0.4
2014,Mujer,Por 100.000,0.4
2022,Mujer,Por 100.000,0.2
2015,Mujer,Por 100.000,0.3
2016,Mujer,Por 100.000,0.3
2018,Mujer,Por 100.000,0.3
2012,Mujer,Por 100.000,0.4
2019,Mujer,Por 100.000,0.2
2020,Mujer,Por 100.000,0.2
2021,Mujer,Por 100.000,0.1
2017,Mujer,Por 100.000,0.2
2023,Mujer,Por 100.000,0.0
2022,Hombre,Por 100.000,0.9
2023,Hombre,Por 100.000,0.2
2016,Hombre,Por 100.000,0.7
2017,Hombre,Por 100.000,1.7
2013,Hombre,Por 100.000,1.7
2011,Hombre,Por 100.000,2.0
2010,Hombre,Por 100.000,2.8
2018,Hombre,Por 100.000,1.0
2019,Hombre,Por 100.000,0.3
2014,Hombre,Por 100.000,1.9
2020,Hombre,Por 100.000,0.7
2021,Hombre,Por 100.000,1.1
2015,Hombre,Por 100.000,1.1
2012,Hombre,Por 100.000,1.4
