Year,Units,Value
2010,Índice,27.77
2011,Índice,14.35
2012,Índice,20.93
2013,Índice,10.21
2014,Índice,9.14
2015,Índice,11.32
2016,Índice,11.07
2017,Índice,16.14
2018,Índice,12.75
2019,Índice,18.58
2020,Índice,4.45
2021,Índice,13.03
2022,Índice,21.02
2023,Índice,4.19
