Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2022,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Gipuzkoa,%,54.18
2020,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Gipuzkoa,%,53.66
2021,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Gipuzkoa,%,56.08
2019,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Gipuzkoa,%,52.15
2023,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Gipuzkoa,%,53.59
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,,%,85.32
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,,%,82.84
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,,%,81.29
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,,%,83.54
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,,%,86.45
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Araba/Álava,%,83.61
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Araba/Álava,%,77.02
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Araba/Álava,%,83.68
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Araba/Álava,%,89.2
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Araba/Álava,%,78.9
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Bizkaia,%,86.64
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Bizkaia,%,82.03
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Bizkaia,%,83.32
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Bizkaia,%,82.68
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Bizkaia,%,88.1
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Gipuzkoa,%,85.71
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Gipuzkoa,%,78.19
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Gipuzkoa,%,84.72
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Gipuzkoa,%,79.9
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-24 años,Gipuzkoa,%,89.58
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,,%,45.95
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,,%,42.31
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,,%,45.0
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,,%,42.23
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,,%,41.06
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Araba/Álava,%,43.03
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Araba/Álava,%,38.38
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Araba/Álava,%,46.61
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Araba/Álava,%,43.54
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Araba/Álava,%,41.77
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Bizkaia,%,45.11
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Bizkaia,%,42.38
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Bizkaia,%,46.11
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Bizkaia,%,41.94
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Bizkaia,%,40.68
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Gipuzkoa,%,42.92
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Gipuzkoa,%,42.32
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Gipuzkoa,%,42.21
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Gipuzkoa,%,45.38
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,16-74 años,Gipuzkoa,%,45.75
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,,%,37.16
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,,%,39.86
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,,%,41.0
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,,%,35.44
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,,%,37.38
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Araba/Álava,%,36.41
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Araba/Álava,%,32.14
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Araba/Álava,%,38.53
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Araba/Álava,%,42.45
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Araba/Álava,%,38.74
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Bizkaia,%,40.16
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Bizkaia,%,35.46
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Bizkaia,%,37.57
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Bizkaia,%,41.38
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Bizkaia,%,36.63
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Gipuzkoa,%,40.01
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Gipuzkoa,%,39.69
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Gipuzkoa,%,37.28
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Gipuzkoa,%,37.51
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,25-74 años,Gipuzkoa,%,36.94
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,,%,83.18
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,,%,85.68
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,,%,88.68
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,,%,90.28
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,,%,86.5
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Araba/Álava,%,92.24
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Araba/Álava,%,74.79
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Araba/Álava,%,94.03
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Araba/Álava,%,89.77
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Araba/Álava,%,83.9
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Bizkaia,%,80.24
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Bizkaia,%,90.71
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Bizkaia,%,84.29
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Bizkaia,%,88.74
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Bizkaia,%,87.56
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Gipuzkoa,%,87.54
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Gipuzkoa,%,91.74
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Gipuzkoa,%,85.35
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Gipuzkoa,%,90.02
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-24 años,Gipuzkoa,%,84.41
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,,%,42.93
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,,%,41.81
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,,%,45.07
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,,%,41.74
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,,%,44.55
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Araba/Álava,%,39.57
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Araba/Álava,%,44.31
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Araba/Álava,%,42.42
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Araba/Álava,%,42.88
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Araba/Álava,%,44.91
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Bizkaia,%,42.08
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Bizkaia,%,43.91
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Bizkaia,%,40.65
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Bizkaia,%,42.12
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Bizkaia,%,43.95
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Gipuzkoa,%,42.33
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Gipuzkoa,%,46.51
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Gipuzkoa,%,43.69
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Gipuzkoa,%,47.05
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,16-74 años,Gipuzkoa,%,43.01
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,,%,35.74
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,,%,36.51
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,,%,39.61
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,,%,40.29
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,,%,37.51
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Araba/Álava,%,37.25
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Araba/Álava,%,40.16
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Araba/Álava,%,38.54
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Araba/Álava,%,38.71
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Araba/Álava,%,33.32
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Bizkaia,%,39.4
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Bizkaia,%,35.49
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Bizkaia,%,36.49
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Bizkaia,%,36.8
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Bizkaia,%,38.97
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Gipuzkoa,%,41.83
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Gipuzkoa,%,38.22
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Gipuzkoa,%,41.08
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Gipuzkoa,%,37.87
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Mujer,25-74 años,Gipuzkoa,%,35.63
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,,%,86.4
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,,%,77.2
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,,%,81.93
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,,%,77.02
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,,%,82.55
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Araba/Álava,%,71.4
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Araba/Álava,%,88.54
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Araba/Álava,%,73.54
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Araba/Álava,%,76.92
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Araba/Álava,%,82.49
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Bizkaia,%,85.49
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Bizkaia,%,85.77
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Bizkaia,%,81.08
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Bizkaia,%,75.48
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Bizkaia,%,86.33
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Gipuzkoa,%,79.85
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Gipuzkoa,%,74.65
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Gipuzkoa,%,82.42
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Gipuzkoa,%,89.18
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-24 años,Gipuzkoa,%,72.35
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,,%,45.46
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,,%,46.84
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,,%,42.74
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,,%,41.65
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,,%,40.29
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Araba/Álava,%,42.74
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Araba/Álava,%,40.61
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Araba/Álava,%,48.29
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Araba/Álava,%,37.2
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Araba/Álava,%,43.65
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Bizkaia,%,39.15
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Bizkaia,%,41.79
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Bizkaia,%,44.18
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Bizkaia,%,46.29
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Bizkaia,%,48.37
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Gipuzkoa,%,43.52
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Gipuzkoa,%,41.41
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Gipuzkoa,%,40.93
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Gipuzkoa,%,44.97
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,16-74 años,Gipuzkoa,%,43.74
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,,%,38.27
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,,%,40.12
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,,%,41.72
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,,%,35.13
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,,%,36.79
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Araba/Álava,%,38.95
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Araba/Álava,%,30.92
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Araba/Álava,%,38.34
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Araba/Álava,%,35.55
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Araba/Álava,%,44.79
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Bizkaia,%,43.41
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Bizkaia,%,36.43
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Bizkaia,%,34.36
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Bizkaia,%,39.73
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Bizkaia,%,41.38
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Gipuzkoa,%,37.52
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Gipuzkoa,%,38.9
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Gipuzkoa,%,38.29
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Gipuzkoa,%,37.15
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",Hombre,25-74 años,Gipuzkoa,%,36.33
2021,Usar hojas de cálculo,,16-24 años,,%,67.34
2020,Usar hojas de cálculo,,16-24 años,,%,70.73
2019,Usar hojas de cálculo,,16-24 años,,%,70.08
2022,Usar hojas de cálculo,,16-24 años,,%,68.34
2023,Usar hojas de cálculo,,16-24 años,,%,63.58
2021,Usar hojas de cálculo,,16-24 años,Araba/Álava,%,61.31
2023,Usar hojas de cálculo,,16-24 años,Araba/Álava,%,57.79
2020,Usar hojas de cálculo,,16-24 años,Araba/Álava,%,68.93
2022,Usar hojas de cálculo,,16-24 años,Araba/Álava,%,74.63
2019,Usar hojas de cálculo,,16-24 años,Araba/Álava,%,70.0
2021,Usar hojas de cálculo,,16-24 años,Bizkaia,%,64.2
2023,Usar hojas de cálculo,,16-24 años,Bizkaia,%,60.93
2019,Usar hojas de cálculo,,16-24 años,Bizkaia,%,69.07
2020,Usar hojas de cálculo,,16-24 años,Bizkaia,%,68.82
2022,Usar hojas de cálculo,,16-24 años,Bizkaia,%,69.09
2019,Usar hojas de cálculo,,16-24 años,Gipuzkoa,%,71.5
2021,Usar hojas de cálculo,,16-24 años,Gipuzkoa,%,74.53
2022,Usar hojas de cálculo,,16-24 años,Gipuzkoa,%,64.64
2020,Usar hojas de cálculo,,16-24 años,Gipuzkoa,%,74.4
2023,Usar hojas de cálculo,,16-24 años,Gipuzkoa,%,70.09
2021,Usar hojas de cálculo,,16-74 años,,%,44.44
2023,Usar hojas de cálculo,,16-74 años,,%,41.85
2020,Usar hojas de cálculo,,16-74 años,,%,41.11
2019,Usar hojas de cálculo,,16-74 años,,%,41.92
2022,Usar hojas de cálculo,,16-74 años,,%,42.23
2019,Usar hojas de cálculo,,16-74 años,Araba/Álava,%,42.89
2022,Usar hojas de cálculo,,16-74 años,Araba/Álava,%,44.9
2020,Usar hojas de cálculo,,16-74 años,Araba/Álava,%,39.71
2023,Usar hojas de cálculo,,16-74 años,Araba/Álava,%,37.35
2021,Usar hojas de cálculo,,16-74 años,Araba/Álava,%,44.08
2021,Usar hojas de cálculo,,16-74 años,Bizkaia,%,44.57
2022,Usar hojas de cálculo,,16-74 años,Bizkaia,%,40.86
2023,Usar hojas de cálculo,,16-74 años,Bizkaia,%,41.54
2020,Usar hojas de cálculo,,16-74 años,Bizkaia,%,41.21
2019,Usar hojas de cálculo,,16-74 años,Bizkaia,%,41.11
2023,Usar hojas de cálculo,,16-74 años,Gipuzkoa,%,44.42
2021,Usar hojas de cálculo,,16-74 años,Gipuzkoa,%,44.39
2022,Usar hojas de cálculo,,16-74 años,Gipuzkoa,%,43.22
2020,Usar hojas de cálculo,,16-74 años,Gipuzkoa,%,41.61
2019,Usar hojas de cálculo,,16-74 años,Gipuzkoa,%,42.77
2020,Usar hojas de cálculo,,25-74 años,,%,37.44
2021,Usar hojas de cálculo,,25-74 años,,%,41.37
2022,Usar hojas de cálculo,,25-74 años,,%,38.78
2023,Usar hojas de cálculo,,25-74 años,,%,38.98
2019,Usar hojas de cálculo,,25-74 años,,%,38.75
2022,Usar hojas de cálculo,,25-74 años,Araba/Álava,%,41.35
2023,Usar hojas de cálculo,,25-74 años,Araba/Álava,%,34.53
2019,Usar hojas de cálculo,,25-74 años,Araba/Álava,%,39.83
2020,Usar hojas de cálculo,,25-74 años,Araba/Álava,%,36.04
2021,Usar hojas de cálculo,,25-74 años,Araba/Álava,%,41.73
2019,Usar hojas de cálculo,,25-74 años,Bizkaia,%,38.17
2020,Usar hojas de cálculo,,25-74 años,Bizkaia,%,37.91
2023,Usar hojas de cálculo,,25-74 años,Bizkaia,%,39.1
2022,Usar hojas de cálculo,,25-74 años,Bizkaia,%,37.17
2021,Usar hojas de cálculo,,25-74 años,Bizkaia,%,42.07
2020,Usar hojas de cálculo,,25-74 años,Gipuzkoa,%,37.32
2023,Usar hojas de cálculo,,25-74 años,Gipuzkoa,%,40.84
2021,Usar hojas de cálculo,,25-74 años,Gipuzkoa,%,40.03
2019,Usar hojas de cálculo,,25-74 años,Gipuzkoa,%,39.19
2022,Usar hojas de cálculo,,25-74 años,Gipuzkoa,%,40.21
2021,Usar hojas de cálculo,Mujer,16-24 años,,%,64.17
2020,Usar hojas de cálculo,Mujer,16-24 años,,%,68.82
2019,Usar hojas de cálculo,Mujer,16-24 años,,%,70.34
2022,Usar hojas de cálculo,Mujer,16-24 años,,%,68.72
2023,Usar hojas de cálculo,Mujer,16-24 años,,%,64.48
2023,Usar hojas de cálculo,Mujer,16-24 años,Araba/Álava,%,62.43
2022,Usar hojas de cálculo,Mujer,16-24 años,Araba/Álava,%,72.24
2020,Usar hojas de cálculo,Mujer,16-24 años,Araba/Álava,%,64.62
2019,Usar hojas de cálculo,Mujer,16-24 años,Araba/Álava,%,70.26
2021,Usar hojas de cálculo,Mujer,16-24 años,Araba/Álava,%,62.48
2023,Usar hojas de cálculo,Mujer,16-24 años,Bizkaia,%,58.92
2019,Usar hojas de cálculo,Mujer,16-24 años,Bizkaia,%,67.84
2020,Usar hojas de cálculo,Mujer,16-24 años,Bizkaia,%,65.82
2022,Usar hojas de cálculo,Mujer,16-24 años,Bizkaia,%,69.38
2021,Usar hojas de cálculo,Mujer,16-24 años,Bizkaia,%,59.54
2022,Usar hojas de cálculo,Mujer,16-24 años,Gipuzkoa,%,66.21
2023,Usar hojas de cálculo,Mujer,16-24 años,Gipuzkoa,%,73.46
2020,Usar hojas de cálculo,Mujer,16-24 años,Gipuzkoa,%,75.14
2019,Usar hojas de cálculo,Mujer,16-24 años,Gipuzkoa,%,73.9
2021,Usar hojas de cálculo,Mujer,16-24 años,Gipuzkoa,%,72.32
2019,Usar hojas de cálculo,Mujer,16-74 años,,%,39.57
2023,Usar hojas de cálculo,Mujer,16-74 años,,%,40.89
2020,Usar hojas de cálculo,Mujer,16-74 años,,%,39.77
2021,Usar hojas de cálculo,Mujer,16-74 años,,%,42.32
2022,Usar hojas de cálculo,Mujer,16-74 años,,%,41.07
2019,Usar hojas de cálculo,Mujer,16-74 años,Araba/Álava,%,40.2
2021,Usar hojas de cálculo,Mujer,16-74 años,Araba/Álava,%,43.21
2023,Usar hojas de cálculo,Mujer,16-74 años,Araba/Álava,%,39.31
2020,Usar hojas de cálculo,Mujer,16-74 años,Araba/Álava,%,39.72
2022,Usar hojas de cálculo,Mujer,16-74 años,Araba/Álava,%,43.88
2020,Usar hojas de cálculo,Mujer,16-74 años,Bizkaia,%,38.18
2019,Usar hojas de cálculo,Mujer,16-74 años,Bizkaia,%,38.1
2021,Usar hojas de cálculo,Mujer,16-74 años,Bizkaia,%,41.04
