Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2023,Alguna habilidad informática,Mujer,16-74 años,Bizkaia,%,69.6
2020,Alguna habilidad informática,Mujer,16-74 años,Bizkaia,%,67.73
2019,Alguna habilidad informática,Mujer,16-74 años,Bizkaia,%,64.61
2021,Alguna habilidad informática,Mujer,16-74 años,Bizkaia,%,72.8
2022,Alguna habilidad informática,Mujer,16-74 años,Gipuzkoa,%,69.97
2023,Alguna habilidad informática,Mujer,16-74 años,Gipuzkoa,%,70.91
2020,Alguna habilidad informática,Mujer,16-74 años,Gipuzkoa,%,68.07
2019,Alguna habilidad informática,Mujer,16-74 años,Gipuzkoa,%,63.58
2021,Alguna habilidad informática,Mujer,16-74 años,Gipuzkoa,%,75.04
2023,Alguna habilidad informática,Mujer,25-74 años,,%,66.96
2022,Alguna habilidad informática,Mujer,25-74 años,,%,64.48
2020,Alguna habilidad informática,Mujer,25-74 años,,%,64.99
2021,Alguna habilidad informática,Mujer,25-74 años,,%,70.9
2019,Alguna habilidad informática,Mujer,25-74 años,,%,60.78
2019,Alguna habilidad informática,Mujer,25-74 años,Araba/Álava,%,62.2
2023,Alguna habilidad informática,Mujer,25-74 años,Araba/Álava,%,69.76
2020,Alguna habilidad informática,Mujer,25-74 años,Araba/Álava,%,67.82
2022,Alguna habilidad informática,Mujer,25-74 años,Araba/Álava,%,64.47
2021,Alguna habilidad informática,Mujer,25-74 años,Araba/Álava,%,71.75
2022,Alguna habilidad informática,Mujer,25-74 años,Bizkaia,%,63.29
2021,Alguna habilidad informática,Mujer,25-74 años,Bizkaia,%,69.98
2023,Alguna habilidad informática,Mujer,25-74 años,Bizkaia,%,66.18
2020,Alguna habilidad informática,Mujer,25-74 años,Bizkaia,%,64.43
2019,Alguna habilidad informática,Mujer,25-74 años,Bizkaia,%,61.28
2023,Alguna habilidad informática,Mujer,25-74 años,Gipuzkoa,%,66.96
2020,Alguna habilidad informática,Mujer,25-74 años,Gipuzkoa,%,64.55
2021,Alguna habilidad informática,Mujer,25-74 años,Gipuzkoa,%,72.0
2019,Alguna habilidad informática,Mujer,25-74 años,Gipuzkoa,%,59.31
2022,Alguna habilidad informática,Mujer,25-74 años,Gipuzkoa,%,66.5
2021,Alguna habilidad informática,Hombre,16-24 años,,%,95.71
2022,Alguna habilidad informática,Hombre,16-24 años,,%,93.54
2023,Alguna habilidad informática,Hombre,16-24 años,,%,93.15
2020,Alguna habilidad informática,Hombre,16-24 años,,%,95.33
2019,Alguna habilidad informática,Hombre,16-24 años,,%,93.6
2020,Alguna habilidad informática,Hombre,16-24 años,Araba/Álava,%,100.0
2023,Alguna habilidad informática,Hombre,16-24 años,Araba/Álava,%,100.0
2022,Alguna habilidad informática,Hombre,16-24 años,Araba/Álava,%,92.71
2019,Alguna habilidad informática,Hombre,16-24 años,Araba/Álava,%,91.9
2021,Alguna habilidad informática,Hombre,16-24 años,Araba/Álava,%,97.21
2019,Alguna habilidad informática,Hombre,16-24 años,Bizkaia,%,97.15
2022,Alguna habilidad informática,Hombre,16-24 años,Bizkaia,%,91.84
2021,Alguna habilidad informática,Hombre,16-24 años,Bizkaia,%,93.28
2023,Alguna habilidad informática,Hombre,16-24 años,Bizkaia,%,89.75
2020,Alguna habilidad informática,Hombre,16-24 años,Bizkaia,%,91.99
2022,Alguna habilidad informática,Hombre,16-24 años,Gipuzkoa,%,96.4
2023,Alguna habilidad informática,Hombre,16-24 años,Gipuzkoa,%,94.65
2021,Alguna habilidad informática,Hombre,16-24 años,Gipuzkoa,%,98.26
2020,Alguna habilidad informática,Hombre,16-24 años,Gipuzkoa,%,98.09
2019,Alguna habilidad informática,Hombre,16-24 años,Gipuzkoa,%,89.45
2021,Alguna habilidad informática,Hombre,16-74 años,,%,76.24
2019,Alguna habilidad informática,Hombre,16-74 años,,%,69.65
2023,Alguna habilidad informática,Hombre,16-74 años,,%,72.52
2022,Alguna habilidad informática,Hombre,16-74 años,,%,69.4
2020,Alguna habilidad informática,Hombre,16-74 años,,%,71.39
2020,Alguna habilidad informática,Hombre,16-74 años,Araba/Álava,%,69.49
2022,Alguna habilidad informática,Hombre,16-74 años,Araba/Álava,%,68.86
2023,Alguna habilidad informática,Hombre,16-74 años,Araba/Álava,%,69.77
2019,Alguna habilidad informática,Hombre,16-74 años,Araba/Álava,%,71.05
2021,Alguna habilidad informática,Hombre,16-74 años,Araba/Álava,%,76.36
2021,Alguna habilidad informática,Hombre,16-74 años,Bizkaia,%,76.5
2020,Alguna habilidad informática,Hombre,16-74 años,Bizkaia,%,71.36
2019,Alguna habilidad informática,Hombre,16-74 años,Bizkaia,%,71.0
