Year,Units,Value
2015,Por 100.000,3.9
2016,Por 100.000,3.0
2017,Por 100.000,3.3
2018,Por 100.000,4.5
2019,Por 100.000,5.1
2020,Por 100.000,6.6
2021,Por 100.000,30.9
2022,Por 100.000,56.8
