Year,Series,Territorio histórico,Units,Value
2011,PIB generado por el turismo en proporción al PIB total,,%,5.5
2017,PIB generado por el turismo en proporción al PIB total,,%,6.4
2012,PIB generado por el turismo en proporción al PIB total,,%,5.7
2020,PIB generado por el turismo en proporción al PIB total,,%,3.8
2014,PIB generado por el turismo en proporción al PIB total,,%,5.9
2016,PIB generado por el turismo en proporción al PIB total,,%,6.5
2015,PIB generado por el turismo en proporción al PIB total,,%,6.3
2022,PIB generado por el turismo en proporción al PIB total,,%,5.5
2010,PIB generado por el turismo en proporción al PIB total,,%,5.4
2019,PIB generado por el turismo en proporción al PIB total,,%,6.3
2024,PIB generado por el turismo en proporción al PIB total,,%,6.8
2013,PIB generado por el turismo en proporción al PIB total,,%,5.9
2021,PIB generado por el turismo en proporción al PIB total,,%,4.0
2018,PIB generado por el turismo en proporción al PIB total,,%,6.3
2023,PIB generado por el turismo en proporción al PIB total,,%,6.6
2011,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,4.8
2024,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.9
2014,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.1
2023,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.7
2021,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,3.7
2010,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,4.6
2012,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.2
2018,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.2
2020,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,3.4
2015,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.3
2017,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.3
2022,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,4.7
2016,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.4
2019,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.1
2013,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.1
2015,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.6
2017,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.8
2021,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,3.4
2013,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.2
2010,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,4.7
2014,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.3
2016,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.8
2020,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,3.2
2012,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.0
2011,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,4.8
2024,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.8
2023,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.7
2022,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,4.7
2019,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.7
2018,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.7
2019,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.8
2010,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,6.8
2024,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,8.7
2023,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,8.4
2022,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.0
2021,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,5.2
2020,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,4.7
2018,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.7
2017,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.9
2015,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.8
2014,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.4
2013,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.2
2012,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.1
2016,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,8.1
2011,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,6.8
2015,Tasa de crecimiento del PIB generado por el turismo,,%,6.8
2018,Tasa de crecimiento del PIB generado por el turismo,,%,-1.6
2022,Tasa de crecimiento del PIB generado por el turismo,,%,37.5
2012,Tasa de crecimiento del PIB generado por el turismo,,%,3.6
2014,Tasa de crecimiento del PIB generado por el turismo,,%,0.0
2010,Tasa de crecimiento del PIB generado por el turismo,,%,1.9
2017,Tasa de crecimiento del PIB generado por el turismo,,%,-1.5
2016,Tasa de crecimiento del PIB generado por el turismo,,%,3.2
2023,Tasa de crecimiento del PIB generado por el turismo,,%,20.0
2020,Tasa de crecimiento del PIB generado por el turismo,,%,-39.7
2019,Tasa de crecimiento del PIB generado por el turismo,,%,0.0
2011,Tasa de crecimiento del PIB generado por el turismo,,%,1.9
2013,Tasa de crecimiento del PIB generado por el turismo,,%,3.5
2024,Tasa de crecimiento del PIB generado por el turismo,,%,3.0
2021,Tasa de crecimiento del PIB generado por el turismo,,%,5.3
2023,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,21.3
2021,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,8.8
2020,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-33.3
2016,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,1.9
2017,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2024,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,3.5
2014,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,0.0
2013,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2012,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,8.3
2018,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2022,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,27.0
2010,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,7.0
2019,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2011,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,4.3
2015,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,3.9
2018,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,-1.7
2020,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,-43.9
2019,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,0.0
2022,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,38.2
2024,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,1.8
2015,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,5.7
2013,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,4.0
2010,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,2.2
