Year,Sexo,Units,Value
2022,,%,8.8
2024,,%,7.4
2023,,%,8.0
2025,,%,8.4
2021,,%,8.9
2021,Mujer,%,9.2
2022,Mujer,%,7.5
2023,Mujer,%,7.3
2024,Mujer,%,5.8
2025,Mujer,%,6.4
2022,Hombre,%,10.0
2024,Hombre,%,9.0
2021,Hombre,%,8.7
2025,Hombre,%,10.2
2023,Hombre,%,8.7
