Year,Units,Value
2008,Porcentaje,4.4
2012,Porcentaje,4.1
2014,Porcentaje,5.2
2016,Porcentaje,4.8
2018,Porcentaje,5.9
2020,Porcentaje,6.0
2022,Porcentaje,6.0
