Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,9.6
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,9.7
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,9.3
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,8.4
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,11.1
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,7.9
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,9.6
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,7.9
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,7.3
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,8.3
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,9.2
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,11.1
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,9.8
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,7.6
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,12.4
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,7.3
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,6.0
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,7.2
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,11.3
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,12.2
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,13.6
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,11.8
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,10.6
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,7.6
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Araba/Álava,Porcentaje,8.6
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,10.6
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,8.5
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,9.2
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,10.4
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,9.3
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,10.0
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,9.5
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,7.3
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,10.2
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,9.2
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,9.9
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,7.6
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,9.2
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Bizkaia,Porcentaje,13.0
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,9.0
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,6.2
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,10.1
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,6.8
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,7.7
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,6.9
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,6.1
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,8.6
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,6.2
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,9.3
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,12.7
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,11.0
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,7.9
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,Gipuzkoa,Porcentaje,9.5
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,8.5
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,8.2
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,11.9
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,8.6
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,12.1
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,8.6
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,12.0
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,9.3
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,10.5
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,13.4
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,7.4
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,9.1
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,7.8
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,,Porcentaje,9.3
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,9.5
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,7.3
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,6.7
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,8.7
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,12.2
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,13.0
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,13.5
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,14.0
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,8.8
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,8.1
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,13.7
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,12.0
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,11.5
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Araba/Álava,Porcentaje,8.2
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,8.3
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,8.5
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,11.4
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,8.5
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,6.7
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,10.6
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,12.8
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,9.3
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,9.1
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,11.9
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,8.1
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,11.7
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,12.9
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Bizkaia,Porcentaje,13.7
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,7.6
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,11.8
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,9.4
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,9.4
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,7.7
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,12.9
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,7.3
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,7.6
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,6.1
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,10.6
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,7.4
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,10.0
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,6.4
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Hombre,15-24 años,Gipuzkoa,Porcentaje,8.0
