Year,Units,Value
2013,"Lógica (1=Sí, -1=No)",1
2014,"Lógica (1=Sí, -1=No)",1
2015,"Lógica (1=Sí, -1=No)",1
2016,"Lógica (1=Sí, -1=No)",1
2017,"Lógica (1=Sí, -1=No)",1
2018,"Lógica (1=Sí, -1=No)",1
2019,"Lógica (1=Sí, -1=No)",1
2020,"Lógica (1=Sí, -1=No)",1
2021,"Lógica (1=Sí, -1=No)",1
2022,"Lógica (1=Sí, -1=No)",1
2023,"Lógica (1=Sí, -1=No)",1
2024,"Lógica (1=Sí, -1=No)",1
