Year,Profesión,Situación laboral,Sexo,Territorio histórico,Units,Value
2018,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,59.7
2016,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,60.1
2011,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,54.0
2018,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,4.4
2017,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,3.9
2017,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,63.4
2012,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,56.9
2014,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,1.4
2025,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,12.3
2010,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,51.8
2016,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,3.2
2015,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,59.7
2021,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,63.6
2016,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,63.3
2020,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,67.6
2023,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,74.2
2022,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,72.0
2012,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,57.5
2019,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,65.8
2011,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,54.7
2010,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,52.4
2018,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,64.0
2013,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,0.7
2022,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,8.0
2019,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,5.8
2023,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,65.2
2010,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,0.6
2024,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,9.9
2015,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,2.1
2023,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,9.0
2024,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,77.3
2012,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,0.6
2020,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,61.3
2013,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,59.5
2011,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,0.6
2013,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,58.8
2021,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,6.7
2022,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,64.0
2017,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,59.6
2019,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,60.0
2025,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,80.8
2020,Médico/a,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,6.3
2014,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,59.6
2015,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,61.9
2024,Médico/a,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,67.5
2014,Médico/a,,Mujer,Araba/Álava,Por 10.000 habitantes,61.0
2021,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,79.8
2024,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,88.0
2014,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,62.4
2019,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,73.7
2024,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,76.5
2016,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,62.9
2025,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,13.0
2022,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,82.3
2013,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,59.3
2011,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,56.4
2010,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,54.4
2012,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,57.4
2019,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,6.5
2020,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,69.6
2017,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,64.2
2015,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,61.8
2014,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,60.4
2023,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,85.3
2015,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,64.3
2017,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,68.3
2025,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,91.5
2013,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,1.9
2017,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,4.1
2012,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,1.8
2021,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,8.7
2014,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,2.0
2016,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,3.3
2018,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,5.0
2022,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,8.7
2024,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,11.6
2010,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,1.2
2011,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,1.5
2025,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,78.5
2020,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,7.5
2023,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,10.5
2023,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,74.8
2010,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,53.2
2018,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,65.7
2019,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,67.2
2011,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,54.9
2020,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,77.1
2022,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,73.7
2015,Médico/a,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,2.5
2013,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,61.1
2018,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,70.7
2012,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,59.2
2016,Médico/a,,Mujer,Bizkaia,Por 10.000 habitantes,66.2
2021,Médico/a,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,71.1
2025,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,12.6
2011,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,50.8
2024,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,11.3
2022,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,9.3
2020,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,6.7
2019,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,6.1
2021,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,7.8
2018,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,5.2
2017,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,4.5
2023,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,10.3
2014,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,2.8
2012,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,2.2
2011,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,1.4
2024,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,65.5
2025,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,67.3
2023,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,64.8
2021,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,62.8
2017,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,55.6
2016,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,54.4
2019,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,58.1
2018,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,56.9
2020,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,60.7
2015,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,53.9
2013,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,2.3
2015,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,3.2
2010,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,47.7
2013,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,51.8
2011,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,49.1
2012,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,50.3
2016,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,58.1
2016,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,3.8
2022,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,63.6
2012,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,52.4
2018,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,62.1
2015,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,57.1
2017,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,60.1
2010,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,48.9
2022,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,72.9
2025,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,79.9
2019,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,64.2
2021,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,70.6
2020,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,67.4
2010,Médico/a,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,1.1
2013,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,54.1
2023,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,75.0
2014,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,55.7
2014,Médico/a,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,53.0
2024,Médico/a,,Mujer,Gipuzkoa,Por 10.000 habitantes,76.8
2016,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,10.9
2017,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,47.1
2013,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,8.7
2011,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,7.5
2016,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,47.8
2021,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,17.0
2022,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,17.8
2024,Médico/a,,Hombre,,Por 10.000 habitantes,63.1
2024,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,42.7
2024,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,20.4
2017,Médico/a,,Hombre,,Por 10.000 habitantes,59.1
2022,Médico/a,,Hombre,,Por 10.000 habitantes,62.3
2016,Médico/a,,Hombre,,Por 10.000 habitantes,58.7
2019,Médico/a,,Hombre,,Por 10.000 habitantes,60.4
2020,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,45.6
2015,Médico/a,,Hombre,,Por 10.000 habitantes,58.4
2014,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,9.3
2011,Médico/a,,Hombre,,Por 10.000 habitantes,56.9
2019,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,45.8
2023,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,43.3
2022,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,44.6
2025,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,42.4
2021,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,45.0
2023,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,19.4
2018,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,46.9
2020,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,15.8
2021,Médico/a,,Hombre,,Por 10.000 habitantes,62.0
2012,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,8.4
2019,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,14.6
2018,Médico/a,,Hombre,,Por 10.000 habitantes,59.7
2013,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,49.2
2025,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,21.6
2010,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,7.3
2025,Médico/a,,Hombre,,Por 10.000 habitantes,64.0
2011,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,49.4
2010,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,49.2
2023,Médico/a,,Hombre,,Por 10.000 habitantes,62.7
2013,Médico/a,,Hombre,,Por 10.000 habitantes,57.9
2015,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,10.2
2012,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,49.0
2014,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,49.2
2014,Médico/a,,Hombre,,Por 10.000 habitantes,58.5
2017,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,11.9
2020,Médico/a,,Hombre,,Por 10.000 habitantes,61.4
2012,Médico/a,,Hombre,,Por 10.000 habitantes,57.4
2018,Médico/a,Jubilados/as,Hombre,,Por 10.000 habitantes,12.8
2015,Médico/a,No jubilados/as,Hombre,,Por 10.000 habitantes,48.2
2010,Médico/a,,Hombre,,Por 10.000 habitantes,56.5
2017,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.6
2018,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.3
2019,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,39.9
2020,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,39.1
2018,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,40.3
2010,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,44.0
2022,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.7
2015,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,53.8
2025,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,19.6
2013,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,8.6
2011,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,6.7
2016,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,53.8
2011,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,45.5
2012,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,53.2
2022,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,18.2
2019,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.7
2011,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,52.2
2025,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,36.1
2021,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,16.4
2025,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,55.7
2019,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,14.7
2013,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,44.8
2014,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.0
2024,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.4
2023,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.8
2021,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,38.2
2017,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,41.4
2010,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,6.9
2015,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,43.4
2022,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,36.5
2024,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,35.8
2014,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,44.7
2023,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,35.9
2024,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,18.6
2016,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,12.0
2012,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,7.5
2016,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,41.8
2023,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,18.8
2017,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,13.2
2015,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,10.5
2018,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,13.9
2014,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,9.3
2012,Médico/a,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,45.7
2020,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.8
2021,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,54.6
2010,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,50.9
2013,Médico/a,,Hombre,Araba/Álava,Por 10.000 habitantes,53.4
2020,Médico/a,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,15.7
2020,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,67.6
2010,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,60.2
2023,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,21.2
2019,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,50.4
2018,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,65.3
2016,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,63.4
2012,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,61.1
2017,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,51.7
2011,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,52.1
2010,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,52.1
2020,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,50.5
2016,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,52.4
2012,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,51.8
2022,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,50.2
2021,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,50.3
2025,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,47.4
2015,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,52.5
2013,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,52.7
2018,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,13.3
2020,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,17.1
2013,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,9.2
2016,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,11.0
2014,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,9.7
2018,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,52.0
2017,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,12.2
2019,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,15.6
2024,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,48.0
2021,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,18.3
2022,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,18.9
2023,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,48.8
2014,Médico/a,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,53.0
2015,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,10.3
2010,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,8.1
2011,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,8.6
2012,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,9.3
2019,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,66.0
2015,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,62.7
2025,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,71.3
2014,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,62.7
2011,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,60.7
2024,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,70.6
2025,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,23.9
2023,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,70.1
2024,Médico/a,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,22.5
2017,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,63.9
2013,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,62.0
2022,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,69.0
2021,Médico/a,,Hombre,Bizkaia,Por 10.000 habitantes,68.6
2014,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,45.1
2021,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,15.0
2019,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,54.2
2011,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,6.0
2019,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,12.8
2012,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,7.3
2010,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,6.1
2015,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,9.8
2013,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,7.8
2024,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,17.8
2023,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,38.1
2014,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,8.7
2023,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,16.9
2022,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,15.9
2025,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,18.8
2023,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,55.0
2016,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.6
2024,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,55.4
2012,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.3
2010,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.0
2014,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.8
2013,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.4
2022,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,55.4
2011,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,52.9
2020,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,54.7
2017,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.6
2021,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,55.0
2025,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,56.2
2018,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.4
2015,Médico/a,,Hombre,Gipuzkoa,Por 10.000 habitantes,53.5
2011,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,46.7
2013,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,45.6
2010,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,46.9
2012,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,46.0
2017,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,42.6
2016,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,43.4
2015,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,43.7
2016,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,10.2
2020,Médico/a,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,13.9
2020,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,40.8
2019,Médico/a,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,41.4
