Year,Profesión,Situación laboral,Sexo,Territorio histórico,Units,Value
2010,,,,Araba/Álava,Por 10.000 habitantes,145.9
2023,,,,Araba/Álava,Por 10.000 habitantes,176.9
2018,,No jubilados/as,,Araba/Álava,Por 10.000 habitantes,158.2
2011,,,,Araba/Álava,Por 10.000 habitantes,149.6
2023,,No jubilados/as,,Araba/Álava,Por 10.000 habitantes,161.8
2012,,No jubilados/as,,Araba/Álava,Por 10.000 habitantes,148.5
2011,,No jubilados/as,,Araba/Álava,Por 10.000 habitantes,138.2
2018,,,,Araba/Álava,Por 10.000 habitantes,168.3
2015,,,,Araba/Álava,Por 10.000 habitantes,162.1
2022,,,,Araba/Álava,Por 10.000 habitantes,175.5
2012,,,,Araba/Álava,Por 10.000 habitantes,153.7
2018,,Jubilados/as,,Araba/Álava,Por 10.000 habitantes,10.1
2010,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,138.6
2022,,,,Bizkaia,Por 10.000 habitantes,181.0
2010,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,5.4
2017,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,155.6
2017,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,9.0
2013,,,,Bizkaia,Por 10.000 habitantes,153.3
2025,,,,Bizkaia,Por 10.000 habitantes,191.4
2016,,,,Bizkaia,Por 10.000 habitantes,162.3
2022,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,166.4
2023,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,167.5
2024,,,,Bizkaia,Por 10.000 habitantes,187.2
2020,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,162.5
2024,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,18.0
2018,,,,Bizkaia,Por 10.000 habitantes,168.2
2011,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,134.2
2018,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,9.9
2025,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,171.9
2022,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,14.6
2014,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,6.6
2013,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,6.3
2020,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,13.1
2025,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,19.5
2021,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,164.3
2021,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,14.4
2015,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,7.1
2014,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,148.9
2015,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,151.8
2011,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,5.8
2014,,,,Bizkaia,Por 10.000 habitantes,156.0
2020,,,,Bizkaia,Por 10.000 habitantes,176.0
2013,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,146.5
2012,,,,Bizkaia,Por 10.000 habitantes,150.9
2023,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,16.8
2021,,,,Bizkaia,Por 10.000 habitantes,179.2
2024,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,169.1
2019,,,,Bizkaia,Por 10.000 habitantes,170.8
2010,,,,Bizkaia,Por 10.000 habitantes,144.3
2017,,,,Bizkaia,Por 10.000 habitantes,165.0
2019,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,158.6
2012,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,6.3
2016,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,154.0
2023,,,,Bizkaia,Por 10.000 habitantes,184.4
2018,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,157.9
2016,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,7.9
2011,,,,Bizkaia,Por 10.000 habitantes,148.2
2012,,No jubilados/as,,Bizkaia,Por 10.000 habitantes,144.2
2015,,,,Bizkaia,Por 10.000 habitantes,159.4
2019,,Jubilados/as,,Bizkaia,Por 10.000 habitantes,11.8
2010,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,135.6
2023,,,,Gipuzkoa,Por 10.000 habitantes,194.7
2013,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,139.4
2019,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,11.7
2023,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,42.3
2012,,,,Gipuzkoa,Por 10.000 habitantes,144.3
2025,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,41.1
2015,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,142.2
2018,,,,Gipuzkoa,Por 10.000 habitantes,154.3
2010,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,4.4
2022,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,15.6
2018,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,144.0
2017,,,,Gipuzkoa,Por 10.000 habitantes,152.9
2014,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,141.5
2014,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,7.0
2022,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,151.3
2024,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,38.2
2013,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,6.4
2021,,,,Gipuzkoa,Por 10.000 habitantes,164.7
2014,,,,Gipuzkoa,Por 10.000 habitantes,148.5
2020,,,,Gipuzkoa,Por 10.000 habitantes,161.9
2025,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,155.5
