Year,Series,Units,Value
2015,Emisiones de CO2,Toneladas,14537114.24
2011,Emisiones de CO2,Toneladas,14931958.24
2012,Emisiones de CO2,Toneladas,15792128.77
2020,Emisiones de CO2,Toneladas,13639720.49
2017,Emisiones de CO2,Toneladas,15166249.88
2021,Emisiones de CO2,Toneladas,14760223.12
2022,Emisiones de CO2,Toneladas,15802683.91
2019,Emisiones de CO2,Toneladas,15484145.53
2018,Emisiones de CO2,Toneladas,14723125.09
2014,Emisiones de CO2,Toneladas,14251428.57
2023,Emisiones de CO2,Toneladas,13605046.24
2010,Emisiones de CO2,Toneladas,16684857.85
2013,Emisiones de CO2,Toneladas,14391247.37
2016,Emisiones de CO2,Toneladas,14504152.61
2010,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.22
2011,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.2
2012,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.21
2013,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.2
2014,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.19
2022,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.18
2015,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.19
2018,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.18
2016,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.18
2019,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.18
2020,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.18
2021,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.18
2017,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.19
2023,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 por euro,0.15
2010,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.43
2011,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.41
2012,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.4
2013,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.41
2014,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.38
2015,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.37
2016,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.37
2017,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.35
2018,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.36
2019,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.34
2020,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.37
2021,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.3
2022,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.33
2023,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 por euro,0.32
