Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
PD,Desgaitasuna duen pertsona,Con discapacidad,Persons with disability,2,2
PWD,Desgaitasunik gabeko pertsona,Sin discapacidad,Persons without disability,2,2
