Value,Number of indicators
"2013, 2018 eta 2023ko datuak Eusko Jaurlaritzako Osasun Sailaren Osasun inkestakoak dira; 2011 eta 2017koak INEren Espainiako Osasun Inkesta Nazionalekoak; eta 2014 eta 2019koak INEren Europako Osasun inkestakoak.
",1
"
2016tik aurrera, hauek gehitu dira: motorrik gabeko ibilgailuen trafiko-istripuak, trafikoaren ondoriozkotzat 
jotzen ez diren garraio-istripuak eta istripuaren unean ibilgailutik igotzen edo jaisten ari ziren trafiko-istripuen 
biktimak
",1
"2023a arte kolon eta ondesteko minbiziaren baheketa-programaren xede-populazioa 50 eta 69 urte bitarteko gizon-emakumeek osatzen zuten. 2023tik aurrera 70 eta 74 urte bitartekoak gehitu zaizkie. 
",1
"
5.a.1 (a) azpiadierazlea prebalentzia-neurri bat da. Nekazaritzako lurren gaineko jabetza edo 
eskubide seguruak dituzten pertsonen prebalentzia neurtzen du, sexuaren arabera banakatuta.

5.a.1 (b) azpiadierazleak genero-parekotasuna du ardatz, eta neurtzen du emakumeak jabetzan edo 
nekazaritza-lurren gaineko eskubide seguruetan zein neurritan dauden desabantailan.
",1
"Adierazle hau % 100ekoa da, lurzoruaren gaineko estatuko legediaren arabera (hiri guztietan aplikatzekoa).",1
"
Adierazle honen erreferentzia-balioa 1 da, parekotasun absolutua adierazten duena. Adierazlearen balioa  1etik zenbat eta urrunago egon, orduan eta handiagoa da desberdintasun-maila; balioa 1 baino txikiagoa denean,  zenbakitzaileko populazio taldeak izendatzaileko populazio-taldearekiko egoera baztertua adierazten du, eta  1 baino altuagoa denean, egoera mesedetua. ",1
"
Adierazle horrek ez du kontuan hartzen infekzioaren sorlekua, hau da, infekzio autoktonoak (lurralde nazionalean 
sortutako infekzioak) eta infekzio ez-autoktonoak (atzerrian sortutako infekzioak) hartzen dira kontuan.
",1
"Adierazle horren erreferentzia-balioa 1 da, aztertutako instituzioan emakumeak duen 
ordezkaritza 16 eta 64 urte bitarteko biztanlerian duen presentziarekiko guztiz proportzionala 
denean. 

Adierazleak 1 baino balio txikiagoa badu, emakumea gutxiegi ordezkatuta dagoela esan nahi du; 
aldiz, 1 baino balio handiagoa badu, gainordezkatuta dagoela esan nahi du. 

2023tik aurrera ez dira barne hartzen Epaileak, Magistratuak eta Fiskalak. 
",1
"Adierazlea % 100ekoa da, Erregistro Zibilari buruzko legeriak jaiotzak inskribatzeko 
betebeharra ezartzen baitu.
",1
"
Adierazlea gobernu orokorrerako kalkulatzen da, gobernu-unitate desberdinak barne hartzen dituena: 
gobernu zentrala, gobernu autonomikoa, foru gobernuak eta tokiko gobernuak.

Gobernuaren Funtzioen Sailkapenak (COFOG), Ekonomia Lankidetza eta Garapenerako Erakundeak (ELGA) 
garatu eta Nazio Batuen Estatistika Atalak argitaratutakoak, gastu publikoa 10 talde funtzionaletan 
egituratzen du:

- 01 Zerbitzu publiko orokorrak
- 02 Defentsa
- 03 Ordena publikoa eta segurtasuna
- 04 Gai ekonomikoak
- 05 Ingurumena babestea
- 06 Etxebizitza eta zerbitzu komunitarioak
- 07 Osasuna
- 08 Aisia, kultura eta erlijioa
- 09 Hezkuntza
- 10 Gizarte-babesa
",1
"
Adierazlea neurriz kanpo kalkula daiteke estatuan, pertsona bera bi erkidego edo gehiagotan zenbatu 
ahal izan delako, eta konfidentzialtasun-arrazoiengatik ezin delako identifikatu.

Tratamendua: droga-kontsumoa desagerrarazteko, murrizteko edo kontrolatzeko profesional kualifikatuek 
egindako edozein esku-hartze.

Anbulatorioa: pertsonak ez du gaua zentroan igarotzen. Irizpide hori ez zaie aplikatzen espetxeei.

Legez kanpoko drogak: alkohola eta nikotina (tabakoa) ez dira legez kanpoko drogatzat hartzen.  
",1
"
Adierazleak Biztanleria jardueraren arabera sailkatzeko inkesta (BJA) erabiltzen du Euskal AEko eta lurralde historikoetako datuetarako; 
udal eta eskualdeetako datuak, berriz, Biztanleriaren eta etxebizitzen zentsukoak dira. BJAren urteko datuak 4 hiruhilekoetako batez 
bestekoari dagozkio, eta azken urtean urtarrilaren 1eko biztanleria hartzen da. Erroldako datuen erreferentzia-data t+1 urteko urtarrilaren 
1a da. Bi kasuetan, erreferentziako biztanleria 16 urte edo gehiagoko pertsonak dira.

Desgaitasunaren araberako langabezia-datuak INEren ""Desgaitasuna duten pertsonen enplegua"" eragiketatik datoz. Azterlanaren 
biztanleria-eremua 16 eta 64 urte bitarteko pertsonen kolektiboa da, % 33ko edo gehiagoko desgaitasun-maila dutenak eta 
parekatuak (1/2013 Legegintzako Errege Dekretuaren arabera).
",1
