Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ICTCPT,Fitxategiak edo karpetak kopiatu edo mugitu,Copiar o mover ficheros o carpetas,Copying or moving files or folders,36,1
ICTPRGM,Programazio-lengoaia batean programatu,Programar en un lenguaje de programación,Programming in a programming language,36,1
ICTPRVCY,"Edozein softwareren konfigurazioa aldatu, sistema eragilea eta segurtasun-programak barne","Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad","Changing the settings of any software, including the operating system and security programs",36,1
ICTPST,"Testu, irudi, taula edo grafikoz osatutako aurkezpenak edo dokumentuak sortu","Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos","Creating presentations or documents that integrate text, images, tables, or graphs",36,1
ICTSFWR,Softwarea edo aplikazioak instalatu (app-ak),Instalar software o aplicaciones(apps),Installing software or applications (apps),36,1
ICTSSHT,Kalkulu-orriak erabili,Usar hojas de cálculo,Using spreadsheets,36,1
ICTTRFF,"Fitxategiak transferitu ordenagailuaren eta beste gailu batzuen artean (kamera digitalak, telefono mugikorrak, mp3 edo mp4)","Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)","Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",36,1
