Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
CNO2011_1,Zuzendaritza-kargua,Cargo directivo,Managerial position,4,1
CNO2011_11_12_13,Goi-zuzendaritza,Alta dirección,Senior management,4,1
SELF_EMP,Enpresaria,Empresaria,Businesswoman,4,1
