Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ALCOHOL,Alkohola,Alcohol,Alcohol,3,1
DRUG_TOTAL,Adikzio-substantzia guztiak,Todas las sustancias adictivas,All addictive substances,3,1
ILDRUGS,Legez kanpoko drogak,Drogas ilegales,Illegal drugs,3,1
