Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
LTD,Aldi baterako kontratua,Contrato temporal,Temporary contract,4,1
PTE,Lanaldi partzialeko kontratua,Contrato a tiempo parcial,Part-time contract,4,1
